,participant_idx,trials_idx,cues,actions,rewards
0,0,0,0,0,-0.5
1,0,1,3,1,0.5
2,0,2,1,1,-0.5
3,0,3,2,0,-0.5
4,0,4,3,1,0.5
5,0,5,3,1,-0.5
6,0,6,2,1,-0.5
7,0,7,1,1,0.5
8,0,8,1,0,0.5
9,0,9,0,0,-0.5
10,0,10,2,0,-0.5
11,0,11,0,0,-0.5
12,0,12,1,1,-0.5
13,0,13,3,1,0.5
14,0,14,2,0,-0.5
15,0,15,0,0,0.5
16,0,16,2,1,0.5
17,0,17,3,1,0.5
18,0,18,2,1,-0.5
19,0,19,0,1,-0.5
20,0,20,2,0,-0.5
21,0,21,3,1,0.5
22,0,22,3,1,-0.5
23,0,23,1,1,-0.5
24,0,24,3,1,0.5
25,0,25,0,0,-0.5
26,0,26,2,0,-0.5
27,0,27,1,1,-0.5
28,0,28,0,0,-0.5
29,0,29,1,0,-0.5
30,0,30,1,1,-0.5
31,0,31,0,1,0.5
32,0,32,3,1,-0.5
33,0,33,2,0,0.5
34,0,34,2,0,-0.5
35,0,35,3,1,0.5
36,0,36,0,1,-0.5
37,0,37,0,0,-0.5
38,0,38,1,0,0.5
39,0,39,2,0,-0.5
40,0,40,2,1,0.5
41,0,41,1,0,0.5
42,0,42,0,1,0.5
43,0,43,3,1,0.5
44,0,44,1,0,-0.5
45,0,45,1,1,-0.5
46,0,46,0,1,-0.5
47,0,47,3,1,0.5
48,0,48,0,1,-0.5
49,0,49,2,1,0.5
50,0,50,3,1,-0.5
51,0,51,1,1,-0.5
52,0,52,0,1,-0.5
53,0,53,3,1,0.5
54,0,54,3,1,0.5
55,0,55,1,0,0.5
56,0,56,0,1,-0.5
57,0,57,0,1,0.5
58,0,58,1,0,0.5
59,0,59,2,0,-0.5
60,0,60,1,1,0.5
61,0,61,2,0,0.5
62,0,62,2,1,0.5
63,0,63,3,1,0.5
64,0,64,1,0,0.5
65,0,65,0,1,-0.5
66,0,66,2,1,0.5
67,0,67,3,0,0.5
68,0,68,1,0,-0.5
69,0,69,2,0,0.5
70,0,70,3,1,-0.5
71,0,71,2,1,0.5
72,0,72,0,0,-0.5
73,0,73,1,1,-0.5
74,0,74,0,1,-0.5
75,0,75,2,0,-0.5
76,0,76,0,1,0.5
77,0,77,3,1,0.5
78,0,78,3,1,0.5
79,0,79,1,0,0.5
80,0,80,2,1,0.5
81,0,81,1,1,-0.5
82,0,82,3,0,0.5
83,0,83,3,1,-0.5
84,0,84,0,0,-0.5
