Unnamed: 0.1,Unnamed: 0,subject_id,task,trial_within_task,choice,reward,x0,x1,x2,x3,target,time,is_training,trial,correct
0,0,0,0,0,1,1.0,-0.82,0.3,-0.53,-0.32,1,240670.0,True,0,1
1,1,0,0,1,1,1.0,-0.41,-0.81,-0.74,-1.06,1,253200.0,True,1,1
2,2,0,0,2,0,1.0,1.13,-0.19,1.34,0.84,0,264172.0,True,2,1
3,3,0,0,3,1,-1.0,-1.58,-0.55,2.55,-0.55,0,272521.0,True,3,0
4,4,0,0,4,1,1.0,-1.22,0.69,-0.91,-1.05,1,280910.0,True,4,1
5,5,0,0,5,1,-1.0,-0.21,0.04,0.43,2.09,0,290509.0,True,5,0
6,6,0,0,6,0,1.0,0.98,-0.66,0.48,0.02,0,300037.0,True,6,1
7,7,0,0,7,0,1.0,1.13,-1.37,1.28,2.7,0,309280.0,True,7,1
8,8,0,0,8,1,1.0,-0.16,0.72,-0.92,-0.12,1,315479.0,True,8,1
9,9,0,0,9,1,-1.0,-1.01,-1.82,1.72,-1.59,0,321342.0,True,9,0
10,10,0,1,0,1,-1.0,0.28,0.39,-1.37,0.23,0,332018.0,True,10,0
11,11,0,1,1,0,-1.0,2.15,0.69,1.53,1.6,1,336969.0,True,11,0
12,12,0,1,2,1,-1.0,-2.41,-1.66,1.45,-2.21,0,348636.0,True,12,0
13,13,0,1,3,1,1.0,2.21,0.31,0.19,0.97,1,361450.0,True,13,1
14,14,0,1,4,0,1.0,-0.81,1.63,-1.43,0.32,0,371767.0,True,14,1
15,15,0,1,5,0,1.0,-1.05,-0.79,-0.52,-0.87,0,379503.0,True,15,1
16,16,0,1,6,1,-1.0,-0.04,0.48,-1.39,0.8,0,387165.0,True,16,0
17,17,0,1,7,0,1.0,-2.72,-1.56,0.85,-2.41,0,391774.0,True,17,1
18,18,0,1,8,0,1.0,-0.47,0.68,-0.98,-0.85,0,403685.0,True,18,1
19,19,0,1,9,1,1.0,1.3,0.57,-2.09,0.35,1,408962.0,True,19,1
20,20,0,2,0,1,-1.0,-1.17,-0.16,0.73,-1.23,0,415469.0,True,20,0
21,21,0,2,1,1,1.0,3.04,-2.48,1.19,-2.92,1,419498.0,True,21,1
22,22,0,2,2,1,1.0,0.25,-0.28,0.0,0.23,1,423066.0,True,22,1
23,23,0,2,3,0,1.0,-1.68,-2.6,0.97,-0.54,0,429394.0,True,23,1
24,24,0,2,4,1,1.0,2.41,1.34,-0.79,-1.97,1,433355.0,True,24,1
25,25,0,2,5,0,-1.0,-0.4,-2.53,0.15,-1.67,1,436762.0,True,25,0
26,26,0,2,6,0,1.0,-1.54,1.82,-1.77,1.62,0,440054.0,True,26,1
27,27,0,2,7,1,-1.0,0.56,2.67,-1.89,1.23,0,445333.0,True,27,0
28,28,0,2,8,0,1.0,-0.82,-1.52,3.0,0.26,0,449296.0,True,28,1
29,29,0,2,9,0,1.0,-1.22,-1.26,0.18,1.82,0,453542.0,True,29,1
30,30,0,3,0,1,1.0,0.04,-0.51,0.78,-0.83,1,463048.0,True,30,1
31,31,0,3,1,1,1.0,0.0,-1.02,0.72,-0.41,1,468975.0,True,31,1
32,32,0,3,2,0,1.0,2.06,2.0,-2.67,1.91,0,474169.0,True,32,1
33,33,0,3,3,0,1.0,0.66,0.83,-1.18,1.0,0,479983.0,True,33,1
34,34,0,3,4,1,1.0,-0.86,-0.18,0.92,-0.48,1,488539.0,True,34,1
35,35,0,3,5,0,1.0,0.38,2.11,-1.88,2.38,0,494424.0,True,35,1
36,36,0,3,6,0,1.0,2.03,0.26,0.41,-1.14,0,499149.0,True,36,1
37,37,0,3,7,1,1.0,-0.98,-2.35,2.66,-1.42,1,502728.0,True,37,1
38,38,0,3,8,0,1.0,0.5,0.48,-0.91,-0.26,0,506660.0,True,38,1
39,39,0,3,9,0,1.0,1.11,4.6,-0.31,4.06,0,510575.0,True,39,1
