,task,trial,horizon,uncertainty,slot1_value,slot2_value,choice,RT,reward,forced,participant,is_training
0,0,0,10,2,60,90,0,1577.351,73,1,0,False
1,0,1,10,2,60,90,1,677.0319999999999,91,1,0,False
2,0,2,10,2,60,90,0,2384.369,68,1,0,False
3,0,3,10,2,60,90,1,1918.693,95,1,0,False
4,0,4,10,2,60,90,0,510.255,71,0,0,False
5,0,5,10,2,60,90,1,432.25,96,0,0,False
6,0,6,10,2,60,90,0,573.0189999999999,57,0,0,False
7,0,7,10,2,60,90,0,473.769,30,0,0,False
8,0,8,10,2,60,90,0,508.081,54,0,0,False
9,0,9,10,2,60,90,1,470.169,81,0,0,False
10,1,0,10,1,10,40,0,841.935,38,1,0,False
11,1,1,10,1,10,40,0,1035.548,1,1,0,False
12,1,2,10,1,10,40,0,841.589,18,1,0,False
13,1,3,10,1,10,40,1,770.113,44,1,0,False
14,1,4,10,1,10,40,0,568.899,5,0,0,False
15,1,5,10,1,10,40,0,384.831,3,0,0,False
16,1,6,10,1,10,40,1,347.586,53,0,0,False
17,1,7,10,1,10,40,0,688.393,6,0,0,False
18,1,8,10,1,10,40,1,1852.025,37,0,0,False
19,1,9,10,1,10,40,1,639.186,50,0,0,False
20,2,0,5,2,60,30,1,888.943,24,1,0,False
21,2,1,5,2,60,30,1,556.269,34,1,0,False
22,2,2,5,2,60,30,0,581.328,68,1,0,False
23,2,3,5,2,60,30,0,380.672,53,1,0,False
24,2,4,5,2,60,30,0,466.581,57,0,0,False
25,3,0,10,3,40,48,1,1064.078,53,1,0,False
26,3,1,10,3,40,48,0,917.424,57,1,0,False
27,3,2,10,3,40,48,1,599.75,45,1,0,False
28,3,3,10,3,40,48,1,398.566,51,1,0,False
29,3,4,10,3,40,48,1,484.724,37,0,0,False
30,3,5,10,3,40,48,0,749.85,35,0,0,False
31,3,6,10,3,40,48,0,525.453,51,0,0,False
32,3,7,10,3,40,48,0,345.592,37,0,0,False
33,3,8,10,3,40,48,0,383.35,29,0,0,False
34,3,9,10,3,40,48,1,501.004,53,0,0,False
35,4,0,5,3,20,40,1,732.742,46,1,0,False
36,4,1,5,3,20,40,0,780.261,9,1,0,False
37,4,2,5,3,20,40,1,506.924,38,1,0,False
38,4,3,5,3,20,40,1,371.227,36,1,0,False
39,4,4,5,3,20,40,1,350.315,37,0,0,False
40,5,0,5,1,32,40,0,983.423,35,1,0,False
41,5,1,5,1,32,40,0,405.885,36,1,0,False
42,5,2,5,1,32,40,0,365.915,27,1,0,False
43,5,3,5,1,32,40,1,413.598,49,1,0,False
44,5,4,5,1,32,40,1,441.3560000000001,41,0,0,False
45,6,0,5,2,90,60,1,1860.796,53,1,0,False
46,6,1,5,2,90,60,1,959.957,59,1,0,False
47,6,2,5,2,90,60,0,278.198,80,1,0,False
48,6,3,5,2,90,60,0,434.133,99,1,0,False
49,6,4,5,2,90,60,1,1221.31,54,0,0,False
50,7,0,10,3,40,20,1,828.453,21,1,0,False
51,7,1,10,3,40,20,0,443.123,43,1,0,False
52,7,2,10,3,40,20,1,453.756,18,1,0,False
53,7,3,10,3,40,20,1,2001.016,19,1,0,False
54,7,4,10,3,40,20,1,1004.841,26,0,0,False
55,7,5,10,3,40,20,1,945.009,21,0,0,False
56,7,6,10,3,40,20,0,1527.676,47,0,0,False
57,7,7,10,3,40,20,0,688.783,37,0,0,False
58,7,8,10,3,40,20,0,2650.353,37,0,0,False
59,7,9,10,3,40,20,0,443.488,36,0,0,False
60,8,0,5,2,40,52,1,909.538,47,1,0,False
61,8,1,5,2,40,52,1,1006.319,41,1,0,False
62,8,2,5,2,40,52,0,380.4620000000001,40,1,0,False
63,8,3,5,2,40,52,0,339.658,35,1,0,False
64,8,4,5,2,40,52,0,469.763,30,0,0,False
65,9,0,5,1,72,60,0,983.325,69,1,0,False
66,9,1,5,1,72,60,0,325.721,69,1,0,False
67,9,2,5,1,72,60,1,1009.726,65,1,0,False
68,9,3,5,1,72,60,0,1327.2,68,1,0,False
69,9,4,5,1,72,60,0,410.857,63,0,0,False
70,10,0,10,3,60,40,0,1286.85,68,1,0,False
71,10,1,10,3,60,40,1,1468.952,43,1,0,False
72,10,2,10,3,60,40,1,478.994,45,1,0,False
