,state_left,state_right,choice,resultant_state,trial,reward,participant,task,is_training
0,3,2,2,0,0,-1,0,1,True
1,2,3,-1,-1,1,0,0,1,True
2,3,2,3,1,2,4,0,1,True
3,2,3,3,1,3,4,0,1,True
4,1,0,1,1,4,5,0,1,True
5,2,3,3,1,5,3,0,1,True
6,3,2,3,1,6,4,0,1,True
7,2,3,3,1,7,2,0,1,True
8,1,0,1,1,8,1,0,1,True
9,2,3,3,1,9,-3,0,1,True
10,2,3,2,0,10,2,0,1,True
11,0,1,0,0,11,4,0,1,True
12,1,0,0,0,12,2,0,1,True
13,2,3,2,0,13,3,0,1,True
14,2,3,2,0,14,5,0,1,True
15,3,2,2,0,15,4,0,1,True
16,1,0,0,0,16,4,0,1,True
17,1,0,0,0,17,0,0,1,True
18,2,3,2,0,18,-3,0,1,True
19,2,3,3,1,19,2,0,1,True
20,1,0,1,1,20,2,0,1,True
21,1,0,1,1,21,4,0,1,True
22,1,0,1,1,22,4,0,1,True
23,3,2,3,1,23,4,0,1,True
24,3,2,3,1,24,5,0,1,True
25,1,0,1,1,25,3,0,1,True
26,0,1,1,1,26,4,0,1,True
27,1,0,1,1,27,1,0,1,True
28,0,1,0,0,28,0,0,1,True
29,1,0,0,0,29,1,0,1,True
30,0,1,0,0,30,0,0,1,True
31,2,3,2,0,31,-3,0,1,True
32,0,1,1,1,32,5,0,1,True
33,3,2,3,1,33,5,0,1,True
34,2,3,3,1,34,1,0,1,True
35,1,0,1,1,35,1,0,1,True
36,2,3,3,1,36,1,0,1,True
37,3,2,3,1,37,1,0,1,True
38,3,2,3,1,38,4,0,1,True
39,2,3,3,1,39,4,0,1,True
40,1,0,1,1,40,2,0,1,True
41,1,0,1,1,41,4,0,1,True
42,2,3,3,1,42,4,0,1,True
43,2,3,3,1,43,0,0,1,True
44,0,1,0,0,44,-2,0,1,True
45,1,0,0,0,45,-3,0,1,True
46,0,1,1,1,46,1,0,1,True
47,1,0,1,1,47,5,0,1,True
48,2,3,3,1,48,4,0,1,True
49,1,0,1,1,49,5,0,1,True
