,Unnamed: 0,participant,task,trial,choice,reward,RT,mu0,mu1,is_training
0,0,0,0,0,0,0,1655,-1,-2,True
1,1,0,0,1,1,-4,652,-1,-2,True
2,2,0,0,2,0,-1,479,-1,-2,True
3,3,0,0,3,0,-2,839,-1,-2,True
4,4,0,0,4,1,-1,424,-1,-2,True
5,5,0,0,5,0,0,426,-1,-2,True
6,6,0,0,6,0,-3,407,-1,-2,True
7,7,0,0,7,1,-1,686,-1,-2,True
8,8,0,0,8,0,-1,391,-1,-2,True
9,9,0,0,9,0,-1,350,-1,-2,True
10,10,0,1,0,0,0,670,0,-10,True
11,11,0,1,1,1,-8,375,0,-10,True
12,12,0,1,2,0,-2,367,0,-10,True
13,13,0,1,3,0,0,415,0,-10,True
14,14,0,1,4,0,0,407,0,-10,True
15,15,0,1,5,0,-1,368,0,-10,True
16,16,0,1,6,1,-11,471,0,-10,True
17,17,0,1,7,0,1,335,0,-10,True
18,18,0,1,8,0,0,351,0,-10,True
19,19,0,1,9,1,-10,367,0,-10,True
20,20,0,2,0,0,-5,530,-5,3,True
21,21,0,2,1,1,2,302,-5,3,True
22,22,0,2,2,1,2,375,-5,3,True
23,23,0,2,3,1,3,360,-5,3,True
24,24,0,2,4,1,2,319,-5,3,True
25,25,0,2,5,1,1,335,-5,3,True
26,26,0,2,6,1,2,385,-5,3,True
27,27,0,2,7,1,4,350,-5,3,True
28,28,0,2,8,1,3,367,-5,3,True
29,29,0,2,9,1,4,391,-5,3,True
30,30,0,3,0,1,1,683,-2,1,True
31,31,0,3,1,1,3,319,-2,1,True
32,32,0,3,2,0,-2,502,-2,1,True
33,33,0,3,3,1,3,543,-2,1,True
34,34,0,3,4,1,1,327,-2,1,True
35,35,0,3,5,1,1,342,-2,1,True
36,36,0,3,6,1,0,342,-2,1,True
37,37,0,3,7,1,1,383,-2,1,True
38,38,0,3,8,1,2,424,-2,1,True
39,39,0,3,9,1,1,390,-2,1,True
40,40,0,4,0,1,-11,504,-2,-11,True
41,41,0,4,1,0,-2,415,-2,-11,True
42,42,0,4,2,0,-3,596,-2,-11,True
43,43,0,4,3,0,-2,485,-2,-11,True
44,44,0,4,4,0,-2,493,-2,-11,True
45,45,0,4,5,0,-3,399,-2,-11,True
46,46,0,4,6,0,-1,392,-2,-11,True
47,47,0,4,7,0,-6,424,-2,-11,True
48,48,0,4,8,1,-10,503,-2,-11,True
49,49,0,4,9,0,-3,351,-2,-11,True
50,50,0,5,0,0,-6,656,-5,-9,True
51,51,0,5,1,1,-9,365,-5,-9,True
52,52,0,5,2,0,-5,519,-5,-9,True
53,53,0,5,3,0,-5,342,-5,-9,True
54,54,0,5,4,0,-5,319,-5,-9,True
55,55,0,5,5,0,-4,423,-5,-9,True
56,56,0,5,6,0,-5,399,-5,-9,True
57,57,0,5,7,0,-6,405,-5,-9,True
58,58,0,5,8,0,-4,359,-5,-9,True
59,59,0,5,9,0,-3,375,-5,-9,True
60,60,0,6,0,0,1,774,1,0,True
61,61,0,6,1,0,-1,366,1,0,True
62,62,0,6,2,1,0,340,1,0,True
63,63,0,6,3,1,0,335,1,0,True
64,64,0,6,4,1,-1,439,1,0,True
65,65,0,6,5,0,-1,368,1,0,True
66,66,0,6,6,0,3,463,1,0,True
67,67,0,6,7,0,0,343,1,0,True
68,68,0,6,8,0,2,367,1,0,True
69,69,0,6,9,0,-1,359,1,0,True
70,70,0,7,0,0,1,464,1,-7,True
71,71,0,7,1,0,1,396,1,-7,True
72,72,0,7,2,0,-1,334,1,-7,True
73,73,0,7,3,0,4,351,1,-7,True
74,74,0,7,4,0,2,383,1,-7,True
75,75,0,7,5,0,-1,360,1,-7,True
76,76,0,7,6,0,0,343,1,-7,True
77,77,0,7,7,0,0,455,1,-7,True
78,78,0,7,8,0,2,415,1,-7,True
79,79,0,7,9,0,1,415,1,-7,True
80,80,0,8,0,0,8,474,9,-4,True
81,81,0,8,1,0,8,407,9,-4,True
82,82,0,8,2,0,8,510,9,-4,True
83,83,0,8,3,1,-4,320,9,-4,True
84,84,0,8,4,0,7,351,9,-4,True
85,85,0,8,5,0,11,352,9,-4,True
86,86,0,8,6,0,6,376,9,-4,True
87,87,0,8,7,0,8,535,9,-4,True
88,88,0,8,8,0,9,423,9,-4,True
89,89,0,8,9,0,10,615,9,-4,True
90,90,0,9,0,0,-9,961,-8,-8,True
91,91,0,9,1,1,-10,423,-8,-8,True
92,92,0,9,2,0,-8,382,-8,-8,True
93,93,0,9,3,0,-9,318,-8,-8,True
94,94,0,9,4,0,-9,367,-8,-8,True
95,95,0,9,5,0,-8,511,-8,-8,True
96,96,0,9,6,0,-9,383,-8,-8,True
97,97,0,9,7,0,-9,359,-8,-8,True
98,98,0,9,8,0,-9,342,-8,-8,True
99,99,0,9,9,0,-7,366,-8,-8,True
100,100,0,10,0,0,10,554,11,16,True
101,101,0,10,1,0,10,397,11,16,True
102,102,0,10,2,0,12,359,11,16,True
103,103,0,10,3,0,11,377,11,16,True
104,104,0,10,4,1,17,359,11,16,True
105,105,0,10,5,1,16,406,11,16,True
106,106,0,10,6,1,18,310,11,16,True
107,107,0,10,7,1,16,367,11,16,True
108,108,0,10,8,1,17,352,11,16,True
109,109,0,10,9,1,16,336,11,16,True
110,110,0,11,0,1,5,734,-11,4,True
111,111,0,11,1,0,-12,343,-11,4,True
112,112,0,11,2,1,4,343,-11,4,True
113,113,0,11,3,1,4,383,-11,4,True
114,114,0,11,4,1,3,375,-11,4,True
115,115,0,11,5,1,5,358,-11,4,True
116,116,0,11,6,1,4,359,-11,4,True
117,117,0,11,7,1,5,351,-11,4,True
118,118,0,11,8,1,4,352,-11,4,True
119,119,0,11,9,1,3,355,-11,4,True
120,120,0,12,0,1,5,544,-3,4,True
121,121,0,12,1,0,-2,342,-3,4,True
122,122,0,12,2,1,3,327,-3,4,True
123,123,0,12,3,1,5,351,-3,4,True
124,124,0,12,4,1,2,383,-3,4,True
125,125,0,12,5,1,5,383,-3,4,True
126,126,0,12,6,1,4,406,-3,4,True
127,127,0,12,7,1,3,335,-3,4,True
128,128,0,12,8,1,4,367,-3,4,True
129,129,0,12,9,1,4,367,-3,4,True
130,130,0,13,0,1,-5,543,-6,-6,True
131,131,0,13,1,0,-6,344,-6,-6,True
132,132,0,13,2,1,-5,375,-6,-6,True
133,133,0,13,3,0,-7,356,-6,-6,True
134,134,0,13,4,0,-6,374,-6,-6,True
135,135,0,13,5,0,-4,374,-6,-6,True
136,136,0,13,6,1,-7,503,-6,-6,True
137,137,0,13,7,0,-6,431,-6,-6,True
138,138,0,13,8,0,-7,383,-6,-6,True
139,139,0,13,9,0,-7,367,-6,-6,True
140,140,0,14,0,0,-19,743,-16,-9,True
141,141,0,14,1,1,-9,327,-16,-9,True
142,142,0,14,2,1,-8,325,-16,-9,True
143,143,0,14,3,1,-8,334,-16,-9,True
144,144,0,14,4,1,-8,319,-16,-9,True
145,145,0,14,5,1,-10,488,-16,-9,True
146,146,0,14,6,0,-16,688,-16,-9,True
147,147,0,14,7,1,-9,335,-16,-9,True
148,148,0,14,8,1,-9,358,-16,-9,True
149,149,0,14,9,1,-8,904,-16,-9,True
150,150,0,15,0,1,9,454,-7,8,True
151,151,0,15,1,0,-8,390,-7,8,True
152,152,0,15,2,1,8,319,-7,8,True
153,153,0,15,3,1,10,351,-7,8,True
154,154,0,15,4,1,9,359,-7,8,True
155,155,0,15,5,1,9,320,-7,8,True
156,156,0,15,6,1,9,369,-7,8,True
157,157,0,15,7,1,8,382,-7,8,True
158,158,0,15,8,1,7,383,-7,8,True
159,159,0,15,9,1,7,423,-7,8,True
160,160,0,16,0,1,2,520,15,2,True
161,161,0,16,1,0,16,334,15,2,True
162,162,0,16,2,0,15,343,15,2,True
163,163,0,16,3,0,15,335,15,2,True
