,Unnamed: 0,participant,task,trial,choice,reward,RT,mu0,mu1,is_training
0,0,0,0,0,0,-1,1816.0,0,0,True
1,1,0,0,1,0,0,587.0,0,0,True
2,2,0,0,2,0,2,519.0,0,0,True
3,3,0,0,3,0,-1,671.0,0,0,True
4,4,0,0,4,0,1,599.0,0,0,True
5,5,0,0,5,0,-1,670.0,0,0,True
6,6,0,0,6,0,-1,587.0,0,0,True
7,7,0,0,7,0,-1,519.0,0,0,True
8,8,0,0,8,0,1,519.0,0,0,True
9,9,0,0,9,0,1,743.0,0,0,True
10,10,0,1,0,0,-1,815.0,-1,0,True
11,11,0,1,1,0,-1,608.0,-1,0,True
12,12,0,1,2,0,-2,423.0,-1,0,True
13,13,0,1,3,0,0,574.0,-1,0,True
14,14,0,1,4,0,-1,479.0,-1,0,True
15,15,0,1,5,1,0,101.0,-1,0,True
16,16,0,1,6,1,0,511.0,-1,0,True
17,17,0,1,7,1,0,539.0,-1,0,True
18,18,0,1,8,1,0,407.0,-1,0,True
19,19,0,1,9,1,0,365.0,-1,0,True
20,20,0,2,0,0,-2,663.0,-1,0,True
21,21,0,2,1,0,-1,513.0,-1,0,True
22,22,0,2,2,1,0,368.0,-1,0,True
23,23,0,2,3,1,0,607.0,-1,0,True
24,24,0,2,4,1,0,343.0,-1,0,True
25,25,0,2,5,0,-4,400.0,-1,0,True
26,26,0,2,6,1,0,391.0,-1,0,True
27,27,0,2,7,1,0,471.0,-1,0,True
28,28,0,2,8,1,0,287.0,-1,0,True
29,29,0,2,9,1,0,311.0,-1,0,True
30,30,0,3,0,0,2,644.0,1,0,True
31,31,0,3,1,0,0,351.0,1,0,True
32,32,0,3,2,0,2,416.0,1,0,True
33,33,0,3,3,0,1,359.0,1,0,True
34,34,0,3,4,0,2,448.0,1,0,True
35,35,0,3,5,0,-1,320.0,1,0,True
36,36,0,3,6,0,0,367.0,1,0,True
37,37,0,3,7,0,2,367.0,1,0,True
38,38,0,3,8,0,1,348.0,1,0,True
39,39,0,3,9,0,0,384.0,1,0,True
