,participant,task,subtask,trial,choice,reward,condition,function,is_training
0,0,0,0,0,3,1.75118712,noncompositional,oddneg,True
1,0,0,0,1,1,12.11196306,noncompositional,oddneg,True
2,0,0,0,2,1,11.99422916,noncompositional,oddneg,True
3,0,0,0,3,3,1.69392907,noncompositional,oddneg,True
4,0,0,0,4,5,0.35761899,noncompositional,oddneg,True
5,0,1,0,0,0,5.09524554,noncompositional,evenpos,True
6,0,1,0,1,1,0.64604776,noncompositional,evenpos,True
7,0,1,0,2,2,5.92271233,noncompositional,evenpos,True
8,0,1,0,3,3,5.93332875,noncompositional,evenpos,True
9,0,1,0,4,4,7.23246062,noncompositional,evenpos,True
10,0,2,0,0,5,5.95973445,noncompositional,evenneg,True
11,0,2,0,1,4,5.76446601,noncompositional,evenneg,True
12,0,2,0,2,3,7.12588059,noncompositional,evenneg,True
13,0,2,0,3,2,6.91569387,noncompositional,evenneg,True
14,0,2,0,4,1,1.64432821,noncompositional,evenneg,True
15,0,3,0,0,0,1.95718223,noncompositional,oddneg,True
16,0,3,0,1,1,6.51162071,noncompositional,oddneg,True
17,0,3,0,2,2,1.0378987,noncompositional,oddneg,True
18,0,3,0,3,3,6.54934137,noncompositional,oddneg,True
19,0,3,0,4,4,6.40559652,noncompositional,oddneg,True
20,0,4,0,0,0,6.54170693,noncompositional,evenpos,True
21,0,4,0,1,2,6.68009919,noncompositional,evenpos,True
22,0,4,0,2,4,5.58991786,noncompositional,evenpos,True
23,0,4,0,3,5,5.76236986,noncompositional,evenpos,True
24,0,4,0,4,1,0.80592215,noncompositional,evenpos,True
25,0,5,0,0,0,1.79201724,noncompositional,oddneg,True
26,0,5,0,1,2,2.36584848,noncompositional,oddneg,True
27,0,5,0,2,4,3.22559551,noncompositional,oddneg,True
28,0,5,0,3,5,1.41476401,noncompositional,oddneg,True
29,0,5,0,4,3,3.60125291,noncompositional,oddneg,True
30,0,6,0,0,5,8.40944055,noncompositional,oddpos,True
31,0,6,0,1,4,8.6280375,noncompositional,oddpos,True
32,0,6,0,2,3,6.71241434,noncompositional,oddpos,True
33,0,6,0,3,2,4.72161539,noncompositional,oddpos,True
34,0,6,0,4,1,10.89427351,noncompositional,oddpos,True
35,0,7,0,0,0,3.29056225,noncompositional,evenneg,True
36,0,7,0,1,1,0.81266385,noncompositional,evenneg,True
37,0,7,0,2,2,3.55257279,noncompositional,evenneg,True
38,0,7,0,3,3,2.91408724,noncompositional,evenneg,True
39,0,7,0,4,4,2.86490029,noncompositional,evenneg,True
40,0,8,0,0,0,6.39297481,noncompositional,evenneg,True
41,0,8,0,1,1,0.5373686,noncompositional,evenneg,True
42,0,8,0,2,2,5.50312773,noncompositional,evenneg,True
43,0,8,0,3,5,1.38569671,noncompositional,evenneg,True
44,0,8,0,4,4,2.28111297,noncompositional,evenneg,True
45,0,9,0,0,5,7.50050923,noncompositional,evenpos,True
46,0,9,0,1,4,7.22963909,noncompositional,evenpos,True
47,0,9,0,2,3,7.78678345,noncompositional,evenpos,True
48,0,9,0,3,2,6.49263477,noncompositional,evenpos,True
49,0,9,0,4,1,1.56043928,noncompositional,evenpos,True
50,0,10,0,0,0,0.55831344,noncompositional,oddpos,True
51,0,10,0,1,5,4.15783271,noncompositional,oddpos,True
52,0,10,0,2,3,4.04452494,noncompositional,oddpos,True
53,0,10,0,3,2,0.64650413,noncompositional,oddpos,True
54,0,10,0,4,4,4.57864166,noncompositional,oddpos,True
55,0,11,0,0,4,2.03605187,noncompositional,evenneg,True
56,0,11,0,1,5,0.0,noncompositional,evenneg,True
57,0,11,0,2,1,3.62626838,noncompositional,evenneg,True
58,0,11,0,3,0,9.51114678,noncompositional,evenneg,True
59,0,11,0,4,2,10.89498656,noncompositional,evenneg,True
60,0,12,0,0,0,1.18392598,noncompositional,oddneg,True
61,0,12,0,1,1,4.55212916,noncompositional,oddneg,True
62,0,12,0,2,5,0.88335771,noncompositional,oddneg,True
63,0,12,0,3,4,1.53696004,noncompositional,oddneg,True
64,0,12,0,4,3,2.46394683,noncompositional,oddneg,True
65,0,13,0,0,0,8.36807248,noncompositional,evenpos,True
66,0,13,0,1,1,2.9470049,noncompositional,evenpos,True
67,0,13,0,2,2,7.92876467,noncompositional,evenpos,True
68,0,13,0,3,3,6.6010237,noncompositional,evenpos,True
69,0,13,0,4,4,6.59185762,noncompositional,evenpos,True
70,0,14,0,0,5,7.58929749,noncompositional,oddpos,True
71,0,14,0,1,4,6.43294535,noncompositional,oddpos,True
72,0,14,0,2,3,5.89112465,noncompositional,oddpos,True
73,0,14,0,3,2,3.79585732,noncompositional,oddpos,True
74,0,14,0,4,1,10.59980557,noncompositional,oddpos,True
75,0,15,0,0,0,0.68914477,noncompositional,oddpos,True
76,0,15,0,1,2,1.31417069,noncompositional,oddpos,True
77,0,15,0,2,5,7.44548335,noncompositional,oddpos,True
