,participant,task,subtask,trial,choice,reward,condition,function,is_training
0,0,0,0,0,0,6.98863456,compositional,neg,True
1,0,0,1,0,5,7.72830576,compositional,odd,True
2,0,0,2,0,0,10.20735994,compositional,negodd,True
3,0,0,0,1,2,4.84640255,compositional,neg,True
4,0,0,1,1,4,3.32107958,compositional,odd,True
5,0,0,2,1,5,11.41913356,compositional,negodd,True
6,0,0,0,2,1,6.34593602,compositional,neg,True
7,0,0,1,2,3,7.92903191,compositional,odd,True
8,0,0,2,2,2,7.71760032,compositional,negodd,True
9,0,0,0,3,3,4.06290197,compositional,neg,True
10,0,0,1,3,2,2.66988987,compositional,odd,True
11,0,0,2,3,3,12.10958916,compositional,negodd,True
12,0,0,0,4,4,4.60993256,compositional,neg,True
13,0,0,1,4,2,2.4201166,compositional,odd,True
14,0,0,2,4,3,12.07460618,compositional,negodd,True
15,0,1,0,0,0,4.02912619,compositional,pos,True
16,0,1,1,0,5,9.09412148,compositional,odd,True
17,0,1,2,0,5,16.83267655,compositional,posodd,True
18,0,1,0,1,0,4.23991993,compositional,pos,True
19,0,1,1,1,4,2.09963102,compositional,odd,True
20,0,1,2,1,3,15.28307831,compositional,posodd,True
21,0,1,0,2,1,5.18212557,compositional,pos,True
22,0,1,1,2,3,8.29445029,compositional,odd,True
23,0,1,2,2,1,14.50438007,compositional,posodd,True
24,0,1,0,3,2,6.29047421,compositional,pos,True
25,0,1,1,3,1,9.06596755,compositional,odd,True
26,0,1,2,3,0,7.63973812,compositional,posodd,True
27,0,1,0,4,5,8.00926811,compositional,pos,True
28,0,1,1,4,2,1.97303157,compositional,odd,True
29,0,1,2,4,2,7.9940209,compositional,posodd,True
30,0,2,0,0,0,1.63068777,compositional,pos,True
31,0,2,1,0,3,7.11516222,compositional,odd,True
32,0,2,2,0,3,10.13886885,compositional,posodd,True
33,0,2,0,1,5,4.06013958,compositional,pos,True
34,0,2,1,1,1,6.61718115,compositional,odd,True
35,0,2,2,1,1,8.09880325,compositional,posodd,True
36,0,2,0,2,2,2.82603945,compositional,pos,True
37,0,2,1,2,2,0.11242788,compositional,odd,True
38,0,2,2,2,2,2.97763112,compositional,posodd,True
39,0,2,0,3,2,2.78062385,compositional,pos,True
40,0,2,1,3,5,6.40109549,compositional,odd,True
41,0,2,2,3,4,4.4873852,compositional,posodd,True
42,0,2,0,4,4,4.19940158,compositional,pos,True
43,0,2,1,4,0,0.59382893,compositional,odd,True
44,0,2,2,4,5,10.44899507,compositional,posodd,True
45,0,3,0,0,5,4.22097013,compositional,neg,True
46,0,3,1,0,0,0.0,compositional,odd,True
47,0,3,2,0,3,9.4278049,compositional,negodd,True
48,0,3,0,1,4,4.11633347,compositional,neg,True
49,0,3,1,1,5,3.62386318,compositional,odd,True
50,0,3,2,1,2,6.84504325,compositional,negodd,True
51,0,3,0,2,3,6.73276922,compositional,neg,True
52,0,3,1,2,4,1.20892188,compositional,odd,True
53,0,3,2,2,4,5.43921298,compositional,negodd,True
54,0,3,0,3,0,8.68817276,compositional,neg,True
55,0,3,1,3,3,2.70024953,compositional,odd,True
56,0,3,2,3,1,11.34097598,compositional,negodd,True
57,0,3,0,4,1,7.98914539,compositional,neg,True
58,0,3,1,4,2,0.58361662,compositional,odd,True
59,0,3,2,4,5,7.75028462,compositional,negodd,True
60,0,4,0,0,0,5.00348756,compositional,neg,True
61,0,4,1,0,2,2.0618361,compositional,odd,True
62,0,4,2,0,0,7.44106151,compositional,negodd,True
63,0,4,0,1,5,2.96710998,compositional,neg,True
64,0,4,1,1,1,8.16835848,compositional,odd,True
