,participant,task,subtask,trial,choice,reward,condition,function,is_training
0,0,0,0,0,0,7.87889046,compositional,neg,True
1,0,0,1,0,0,6.63450591,compositional,even,True
2,0,0,2,0,0,7.70371451,compositional,negeven,True
3,0,0,0,1,1,6.93647051,compositional,neg,True
4,0,0,1,1,1,1.42637157,compositional,even,True
5,0,0,2,1,1,7.17415271,compositional,negeven,True
6,0,0,0,2,2,6.98255959,compositional,neg,True
7,0,0,1,2,2,6.59850179,compositional,even,True
8,0,0,2,2,2,6.81784564,compositional,negeven,True
9,0,0,0,3,3,5.2273092,compositional,neg,True
10,0,0,1,3,3,0.81000737,compositional,even,True
11,0,0,2,3,3,0.66902362,compositional,negeven,True
12,0,0,0,4,4,5.01647434,compositional,neg,True
13,0,0,1,4,4,7.13294588,compositional,even,True
14,0,0,2,4,5,1.60397131,compositional,negeven,True
15,0,1,0,0,0,5.67648127,compositional,neg,True
16,0,1,1,0,0,2.62448682,compositional,even,True
17,0,1,2,0,0,5.81544728,compositional,negeven,True
18,0,1,0,1,1,5.56236795,compositional,neg,True
19,0,1,1,1,2,2.45089747,compositional,even,True
20,0,1,2,1,1,5.35831821,compositional,negeven,True
21,0,1,0,2,2,4.08129308,compositional,neg,True
22,0,1,1,2,5,0.6028301,compositional,even,True
23,0,1,2,2,2,4.20527165,compositional,negeven,True
24,0,1,0,3,3,3.96902132,compositional,neg,True
25,0,1,1,3,4,3.94628711,compositional,even,True
26,0,1,2,3,4,3.92046929,compositional,negeven,True
27,0,1,0,4,4,2.48344171,compositional,neg,True
28,0,1,1,4,3,0.70137301,compositional,even,True
29,0,1,2,4,5,0.69336327,compositional,negeven,True
30,0,2,0,0,0,8.63002446,compositional,neg,True
31,0,2,1,0,5,8.9445871,compositional,odd,True
32,0,2,2,0,0,8.65610298,compositional,negodd,True
33,0,2,0,1,1,8.42528562,compositional,neg,True
34,0,2,1,1,3,8.55031236,compositional,odd,True
35,0,2,2,1,0,8.74406221,compositional,negodd,True
36,0,2,0,2,2,6.93096175,compositional,neg,True
37,0,2,1,2,1,8.96699294,compositional,odd,True
38,0,2,2,2,0,8.56087885,compositional,negodd,True
39,0,2,0,3,3,6.76765665,compositional,neg,True
40,0,2,1,3,0,3.69864854,compositional,odd,True
41,0,2,2,3,0,8.78358961,compositional,negodd,True
42,0,2,0,4,4,5.40646024,compositional,neg,True
43,0,2,1,4,5,9.13281529,compositional,odd,True
44,0,2,2,4,0,8.62926336,compositional,negodd,True
45,0,3,0,0,0,2.07762225,compositional,pos,True
46,0,3,1,0,0,1.557454,compositional,odd,True
47,0,3,2,0,0,2.03645341,compositional,posodd,True
48,0,3,0,1,1,2.47579911,compositional,pos,True
49,0,3,1,1,1,6.21695905,compositional,odd,True
50,0,3,2,1,1,2.54115814,compositional,posodd,True
51,0,3,0,2,2,3.79061904,compositional,pos,True
52,0,3,1,2,1,6.2693478,compositional,odd,True
53,0,3,2,2,2,3.74502424,compositional,posodd,True
54,0,3,0,3,5,5.34513358,compositional,pos,True
55,0,3,1,3,1,6.04333336,compositional,odd,True
56,0,3,2,3,3,5.58608843,compositional,posodd,True
57,0,3,0,4,5,5.47767956,compositional,pos,True
58,0,3,1,4,3,5.32796579,compositional,odd,True
59,0,3,2,4,4,0.90192431,compositional,posodd,True
60,0,4,0,0,0,6.02419666,compositional,neg,True
61,0,4,1,0,0,5.4689858,compositional,even,True
62,0,4,2,0,0,5.84973909,compositional,negeven,True
63,0,4,0,1,5,2.20173322,compositional,neg,True
64,0,4,1,1,1,1.20869737,compositional,even,True
65,0,4,2,1,1,5.42531519,compositional,negeven,True
66,0,4,0,2,0,5.92931854,compositional,neg,True
67,0,4,1,2,0,5.39363047,compositional,even,True
68,0,4,2,2,2,4.65064154,compositional,negeven,True
69,0,4,0,3,0,6.01408231,compositional,neg,True
70,0,4,1,3,2,5.90214495,compositional,even,True
71,0,4,2,3,3,1.8802576,compositional,negeven,True
72,0,4,0,4,0,5.88255716,compositional,neg,True
73,0,4,1,4,4,5.92350014,compositional,even,True
74,0,4,2,4,5,2.30232324,compositional,negeven,True
75,0,5,0,0,0,5.90934023,compositional,neg,True
76,0,5,1,0,1,10.72101548,compositional,odd,True
77,0,5,2,0,0,5.96266284,compositional,negodd,True
78,0,5,0,1,1,5.3547684,compositional,neg,True
79,0,5,1,1,1,10.81938526,compositional,odd,True
80,0,5,2,1,4,4.59824594,compositional,negodd,True
81,0,5,0,2,2,3.7404911,compositional,neg,True
82,0,5,1,2,1,10.44949248,compositional,odd,True
83,0,5,2,2,0,5.66980478,compositional,negodd,True
84,0,5,0,3,0,5.77494132,compositional,neg,True
85,0,5,1,3,1,10.6177404,compositional,odd,True
86,0,5,2,3,1,5.51882488,compositional,negodd,True
87,0,5,0,4,0,5.94924905,compositional,neg,True
88,0,5,1,4,1,10.78911547,compositional,odd,True
89,0,5,2,4,4,4.62194948,compositional,negodd,True
90,0,6,0,0,0,9.08895237,compositional,neg,True
91,0,6,1,0,0,0.48228457,compositional,odd,True
92,0,6,2,0,0,9.06342801,compositional,negodd,True
93,0,6,0,1,1,7.38125259,compositional,neg,True
94,0,6,1,1,1,6.93132188,compositional,odd,True
95,0,6,2,1,4,0.03244884,compositional,negodd,True
96,0,6,0,2,0,9.10737521,compositional,neg,True
97,0,6,1,2,3,6.07873413,compositional,odd,True
98,0,6,2,2,3,5.99608616,compositional,negodd,True
99,0,6,0,3,0,9.03754759,compositional,neg,True
100,0,6,1,3,5,6.66726468,compositional,odd,True
101,0,6,2,3,5,6.59895018,compositional,negodd,True
102,0,6,0,4,2,6.90972582,compositional,neg,True
103,0,6,1,4,1,7.0704151,compositional,odd,True
104,0,6,2,4,0,9.04858277,compositional,negodd,True
105,0,7,0,0,0,5.39657604,compositional,neg,True
106,0,7,1,0,0,0.29397992,compositional,odd,True
107,0,7,2,0,0,5.2305877,compositional,negodd,True
108,0,7,0,1,1,5.74647576,compositional,neg,True
109,0,7,1,1,1,3.66911418,compositional,odd,True
110,0,7,2,1,1,5.56273867,compositional,negodd,True
111,0,7,0,2,2,4.45596824,compositional,neg,True
