,participant,task,subtask,trial,choice,reward,condition,function,is_training
0,0,0,0,0,0,11.60867149,noncompositional,poseven,False
1,0,0,0,1,5,9.75235313,noncompositional,poseven,False
2,0,0,0,2,1,5.80544301,noncompositional,poseven,False
3,0,0,0,3,0,11.77345455,noncompositional,poseven,False
4,0,0,0,4,0,11.61483886,noncompositional,poseven,False
5,0,1,0,0,3,7.8135994,noncompositional,negodd,False
6,0,1,0,1,1,8.74473663,noncompositional,negodd,False
7,0,1,0,2,0,6.87115017,noncompositional,negodd,False
8,0,1,0,3,5,6.76451542,noncompositional,negodd,False
9,0,1,0,4,2,5.61871694,noncompositional,negodd,False
10,0,2,0,0,0,7.02595021,noncompositional,negodd,False
11,0,2,0,1,5,8.74469954,noncompositional,negodd,False
12,0,2,0,2,4,4.92923031,noncompositional,negodd,False
13,0,2,0,3,5,8.56662726,noncompositional,negodd,False
14,0,2,0,4,5,8.54705043,noncompositional,negodd,False
15,0,3,0,0,2,5.14301383,noncompositional,posodd,False
16,0,3,0,1,5,9.47365199,noncompositional,posodd,False
17,0,3,0,2,4,3.81111348,noncompositional,posodd,False
18,0,3,0,3,5,9.36083633,noncompositional,posodd,False
19,0,3,0,4,5,9.12951681,noncompositional,posodd,False
20,0,4,0,0,0,10.29033518,noncompositional,poseven,False
21,0,4,0,1,2,10.38977872,noncompositional,poseven,False
22,0,4,0,2,4,12.03012621,noncompositional,poseven,False
23,0,4,0,3,5,6.81314797,noncompositional,poseven,False
24,0,4,0,4,4,12.07433793,noncompositional,poseven,False
25,0,5,0,0,0,12.2954512,noncompositional,negeven,False
26,0,5,0,1,2,11.5913942,noncompositional,negeven,False
27,0,5,0,2,1,8.86530988,noncompositional,negeven,False
28,0,5,0,3,0,12.25162712,noncompositional,negeven,False
29,0,5,0,4,0,12.36050358,noncompositional,negeven,False
30,0,6,0,0,5,14.3859233,noncompositional,posodd,False
31,0,6,0,1,3,13.58798741,noncompositional,posodd,False
32,0,6,0,2,5,14.47311597,noncompositional,posodd,False
33,0,6,0,3,5,14.57972969,noncompositional,posodd,False
34,0,6,0,4,5,14.34154997,noncompositional,posodd,False
35,0,7,0,0,0,11.89035067,noncompositional,negeven,False
36,0,7,0,1,5,4.82732891,noncompositional,negeven,False
37,0,7,0,2,1,6.13596793,noncompositional,negeven,False
38,0,7,0,3,0,12.02745489,noncompositional,negeven,False
39,0,7,0,4,0,11.78722221,noncompositional,negeven,False
40,0,8,0,0,3,15.05330424,noncompositional,posodd,False
41,0,8,0,1,5,16.27693262,noncompositional,posodd,False
42,0,8,0,2,5,16.08485425,noncompositional,posodd,False
43,0,8,0,3,5,16.12779763,noncompositional,posodd,False
44,0,8,0,4,5,15.96201393,noncompositional,posodd,False
45,0,9,0,0,5,16.88985828,noncompositional,posodd,False
46,0,9,0,1,5,16.82248342,noncompositional,posodd,False
47,0,9,0,2,4,10.23925833,noncompositional,posodd,False
48,0,9,0,3,5,16.63463115,noncompositional,posodd,False
49,0,9,0,4,5,17.00226567,noncompositional,posodd,False
50,0,10,0,0,0,17.24390961,noncompositional,negeven,False
51,0,10,0,1,2,12.29884681,noncompositional,negeven,False
52,0,10,0,2,0,17.26510873,noncompositional,negeven,False
53,0,10,0,3,0,17.28416399,noncompositional,negeven,False
54,0,10,0,4,0,17.11073562,noncompositional,negeven,False
55,0,11,0,0,2,10.13933795,noncompositional,negodd,False
56,0,11,0,1,5,12.57998257,noncompositional,negodd,False
57,0,11,0,2,4,8.67061076,noncompositional,negodd,False
58,0,11,0,3,5,12.67216648,noncompositional,negodd,False
59,0,11,0,4,5,12.5883589,noncompositional,negodd,False
60,0,12,0,0,0,9.3436826,noncompositional,poseven,False
61,0,12,0,1,5,5.55064921,noncompositional,poseven,False
62,0,12,0,2,1,3.58649404,noncompositional,poseven,False
63,0,12,0,3,3,3.90035505,noncompositional,poseven,False
64,0,12,0,4,0,9.49721737,noncompositional,poseven,False
65,0,13,0,0,0,13.03520864,noncompositional,poseven,False
66,0,13,0,1,5,9.5993439,noncompositional,poseven,False
67,0,13,0,2,2,12.84391349,noncompositional,poseven,False
68,0,13,0,3,2,12.79053933,noncompositional,poseven,False
69,0,13,0,4,2,12.89593387,noncompositional,poseven,False
70,0,14,0,0,5,5.37456772,noncompositional,negeven,False
71,0,14,0,1,0,14.62651919,noncompositional,negeven,False
72,0,14,0,2,1,7.97285679,noncompositional,negeven,False
73,0,14,0,3,0,14.6094054,noncompositional,negeven,False
74,0,14,0,4,0,14.5160707,noncompositional,negeven,False
75,0,15,0,0,2,7.94551676,noncompositional,negodd,False
76,0,15,0,1,5,11.9324304,noncompositional,negodd,False
77,0,15,0,2,0,9.74354361,noncompositional,negodd,False
78,0,15,0,3,5,11.91417566,noncompositional,negodd,False
79,0,15,0,4,5,11.70145607,noncompositional,negodd,False
80,0,16,0,0,5,17.15796251,noncompositional,negodd,False
81,0,16,0,1,0,13.1524365,noncompositional,negodd,False
82,0,16,0,2,5,17.1510575,noncompositional,negodd,False
83,0,16,0,3,5,17.31066546,noncompositional,negodd,False
84,0,16,0,4,5,17.20075659,noncompositional,negodd,False
85,0,17,0,0,3,13.45988542,noncompositional,posodd,False
86,0,17,0,1,5,15.54767561,noncompositional,posodd,False
87,0,17,0,2,0,6.99466533,noncompositional,posodd,False
88,0,17,0,3,5,15.38488473,noncompositional,posodd,False
89,0,17,0,4,5,15.47040473,noncompositional,posodd,False
90,0,18,0,0,0,14.64654713,noncompositional,poseven,False
91,0,18,0,1,5,13.41813457,noncompositional,poseven,False
92,0,18,0,2,2,17.98494127,noncompositional,poseven,False
93,0,18,0,3,2,17.92333698,noncompositional,poseven,False
94,0,18,0,4,2,18.06135694,noncompositional,poseven,False
95,0,19,0,0,3,10.97683447,noncompositional,negeven,False
96,0,19,0,1,0,19.172373,noncompositional,negeven,False
97,0,19,0,2,0,19.04631002,noncompositional,negeven,False
98,0,19,0,3,0,19.2255332,noncompositional,negeven,False
99,0,19,0,4,0,19.20633688,noncompositional,negeven,False
100,1,0,0,0,3,14.57503819,noncompositional,negodd,True
101,1,0,0,1,4,7.19949642,noncompositional,negodd,True
102,1,0,0,2,1,16.37252234,noncompositional,negodd,True
103,1,0,0,3,0,10.35346784,noncompositional,negodd,True
104,1,0,0,4,2,8.57325314,noncompositional,negodd,True
105,1,1,0,0,4,9.56743942,noncompositional,negeven,True
106,1,1,0,1,2,9.62132063,noncompositional,negeven,True
107,1,1,0,2,1,7.14739786,noncompositional,negeven,True
108,1,1,0,3,0,10.12141177,noncompositional,negeven,True
109,1,1,0,4,5,4.687159,noncompositional,negeven,True
110,1,2,0,0,4,11.93858787,noncompositional,poseven,True
111,1,2,0,1,2,10.2592613,noncompositional,poseven,True
112,1,2,0,2,5,6.84453984,noncompositional,poseven,True
113,1,2,0,3,3,6.20170886,noncompositional,poseven,True
114,1,2,0,4,1,4.78546408,noncompositional,poseven,True
115,1,3,0,0,4,11.09139287,noncompositional,poseven,True
116,1,3,0,1,3,4.61676146,noncompositional,poseven,True
117,1,3,0,2,2,9.79265468,noncompositional,poseven,True
118,1,3,0,3,5,4.30483491,noncompositional,poseven,True
119,1,3,0,4,0,10.06785223,noncompositional,poseven,True
120,1,4,0,0,4,6.33708951,noncompositional,posodd,True
121,1,4,0,1,2,5.09405074,noncompositional,posodd,True
122,1,4,0,2,0,3.12345984,noncompositional,posodd,True
123,1,4,0,3,5,13.99395054,noncompositional,posodd,True
124,1,4,0,4,3,14.40708105,noncompositional,posodd,True
125,1,5,0,0,4,9.68324179,noncompositional,posodd,True
126,1,5,0,1,3,16.94609013,noncompositional,posodd,True
127,1,5,0,2,1,13.35520152,noncompositional,posodd,True
