subject_id,age,age_group,sex,task,trial,choice,correct_choice,correct,block,factor_structure_type,condition,category,object,all_features,feature1,feature2,feature3
0,68,older,female,0,0,j,j,1,0,type_i,1,1,Big Black Square,"[np.int64(1), np.int64(1), np.int64(1)]",1,1,1
0,68,older,female,0,1,j,f,0,0,type_i,1,0,Small Black Triangle,"[np.int64(0), np.int64(1), np.int64(0)]",0,1,0
0,68,older,female,0,2,f,j,0,0,type_i,1,1,Big White Triangle,"[np.int64(1), np.int64(0), np.int64(0)]",1,0,0
0,68,older,female,0,3,f,f,1,0,type_i,1,0,Small White Triangle,"[np.int64(0), np.int64(0), np.int64(0)]",0,0,0
0,68,older,female,0,4,f,f,1,0,type_i,1,0,Small White Square,"[np.int64(0), np.int64(0), np.int64(1)]",0,0,1
0,68,older,female,0,5,j,f,0,0,type_i,1,0,Small Black Square,"[np.int64(0), np.int64(1), np.int64(1)]",0,1,1
0,68,older,female,0,6,f,j,0,0,type_i,1,1,Big White Square,"[np.int64(1), np.int64(0), np.int64(1)]",1,0,1
0,68,older,female,0,7,f,j,0,0,type_i,1,1,Big Black Triangle,"[np.int64(1), np.int64(1), np.int64(0)]",1,1,0
0,68,older,female,0,8,f,j,0,0,type_i,1,1,Big White Square,"[np.int64(1), np.int64(0), np.int64(1)]",1,0,1
0,68,older,female,0,9,f,j,0,0,type_i,1,1,Big Black Square,"[np.int64(1), np.int64(1), np.int64(1)]",1,1,1
0,68,older,female,0,10,j,f,0,0,type_i,1,0,Small White Triangle,"[np.int64(0), np.int64(0), np.int64(0)]",0,0,0
0,68,older,female,0,11,j,f,0,0,type_i,1,0,Small Black Triangle,"[np.int64(0), np.int64(1), np.int64(0)]",0,1,0
0,68,older,female,0,12,f,j,0,0,type_i,1,1,Big White Triangle,"[np.int64(1), np.int64(0), np.int64(0)]",1,0,0
0,68,older,female,0,13,j,f,0,0,type_i,1,0,Small White Square,"[np.int64(0), np.int64(0), np.int64(1)]",0,0,1
0,68,older,female,0,14,j,f,0,0,type_i,1,0,Small Black Square,"[np.int64(0), np.int64(1), np.int64(1)]",0,1,1
0,68,older,female,0,15,f,j,0,0,type_i,1,1,Big Black Triangle,"[np.int64(1), np.int64(1), np.int64(0)]",1,1,0
0,68,older,female,0,16,f,f,1,0,type_i,1,0,Small White Square,"[np.int64(0), np.int64(0), np.int64(1)]",0,0,1
0,68,older,female,0,17,f,f,1,0,type_i,1,0,Small Black Square,"[np.int64(0), np.int64(1), np.int64(1)]",0,1,1
0,68,older,female,0,18,j,j,1,0,type_i,1,1,Big White Triangle,"[np.int64(1), np.int64(0), np.int64(0)]",1,0,0
0,68,older,female,0,19,j,f,0,0,type_i,1,0,Small Black Triangle,"[np.int64(0), np.int64(1), np.int64(0)]",0,1,0
0,68,older,female,0,20,f,f,1,0,type_i,1,0,Small White Triangle,"[np.int64(0), np.int64(0), np.int64(0)]",0,0,0
0,68,older,female,0,21,j,j,1,0,type_i,1,1,Big White Square,"[np.int64(1), np.int64(0), np.int64(1)]",1,0,1
0,68,older,female,0,22,f,j,0,0,type_i,1,1,Big Black Triangle,"[np.int64(1), np.int64(1), np.int64(0)]",1,1,0
0,68,older,female,0,23,f,j,0,0,type_i,1,1,Big Black Square,"[np.int64(1), np.int64(1), np.int64(1)]",1,1,1
0,68,older,female,0,24,f,f,1,0,type_i,1,0,Small Black Triangle,"[np.int64(0), np.int64(1), np.int64(0)]",0,1,0
0,68,older,female,0,25,j,f,0,0,type_i,1,0,Small White Square,"[np.int64(0), np.int64(0), np.int64(1)]",0,0,1
0,68,older,female,0,26,f,f,1,0,type_i,1,0,Small Black Square,"[np.int64(0), np.int64(1), np.int64(1)]",0,1,1
0,68,older,female,0,27,j,j,1,0,type_i,1,1,Big Black Square,"[np.int64(1), np.int64(1), np.int64(1)]",1,1,1
0,68,older,female,0,28,j,j,1,0,type_i,1,1,Big White Square,"[np.int64(1), np.int64(0), np.int64(1)]",1,0,1
0,68,older,female,0,29,j,j,1,0,type_i,1,1,Big White Triangle,"[np.int64(1), np.int64(0), np.int64(0)]",1,0,0
0,68,older,female,0,30,f,f,1,0,type_i,1,0,Small White Triangle,"[np.int64(0), np.int64(0), np.int64(0)]",0,0,0
0,68,older,female,0,31,j,j,1,0,type_i,1,1,Big Black Triangle,"[np.int64(1), np.int64(1), np.int64(0)]",1,1,0
