,Unnamed: 0,participant,task,trial,choice,reward,x0,x1,x2,x3,target,time,is_training
0,0,0,0,0,1,1.0,-0.82,0.3,-0.53,-0.32,1,240670.0,True
1,1,0,0,1,1,1.0,-0.41,-0.81,-0.74,-1.06,1,253200.0,True
2,2,0,0,2,0,1.0,1.13,-0.19,1.34,0.84,0,264172.0,True
3,3,0,0,3,1,-1.0,-1.58,-0.55,2.55,-0.55,0,272521.0,True
4,4,0,0,4,1,1.0,-1.22,0.69,-0.91,-1.05,1,280910.0,True
5,5,0,0,5,1,-1.0,-0.21,0.04,0.43,2.09,0,290509.0,True
6,6,0,0,6,0,1.0,0.98,-0.66,0.48,0.02,0,300037.0,True
7,7,0,0,7,0,1.0,1.13,-1.37,1.28,2.7,0,309280.0,True
8,8,0,0,8,1,1.0,-0.16,0.72,-0.92,-0.12,1,315479.0,True
9,9,0,0,9,1,-1.0,-1.01,-1.82,1.72,-1.59,0,321342.0,True
10,10,0,1,0,1,-1.0,0.28,0.39,-1.37,0.23,0,332018.0,True
11,11,0,1,1,0,-1.0,2.15,0.69,1.53,1.6,1,336969.0,True
12,12,0,1,2,1,-1.0,-2.41,-1.66,1.45,-2.21,0,348636.0,True
13,13,0,1,3,1,1.0,2.21,0.31,0.19,0.97,1,361450.0,True
14,14,0,1,4,0,1.0,-0.81,1.63,-1.43,0.32,0,371767.0,True
15,15,0,1,5,0,1.0,-1.05,-0.79,-0.52,-0.87,0,379503.0,True
16,16,0,1,6,1,-1.0,-0.04,0.48,-1.39,0.8,0,387165.0,True
17,17,0,1,7,0,1.0,-2.72,-1.56,0.85,-2.41,0,391774.0,True
18,18,0,1,8,0,1.0,-0.47,0.68,-0.98,-0.85,0,403685.0,True
19,19,0,1,9,1,1.0,1.3,0.57,-2.09,0.35,1,408962.0,True
20,20,0,2,0,1,-1.0,-1.17,-0.16,0.73,-1.23,0,415469.0,True
21,21,0,2,1,1,1.0,3.04,-2.48,1.19,-2.92,1,419498.0,True
22,22,0,2,2,1,1.0,0.25,-0.28,0.0,0.23,1,423066.0,True
23,23,0,2,3,0,1.0,-1.68,-2.6,0.97,-0.54,0,429394.0,True
24,24,0,2,4,1,1.0,2.41,1.34,-0.79,-1.97,1,433355.0,True
25,25,0,2,5,0,-1.0,-0.4,-2.53,0.15,-1.67,1,436762.0,True
26,26,0,2,6,0,1.0,-1.54,1.82,-1.77,1.62,0,440054.0,True
27,27,0,2,7,1,-1.0,0.56,2.67,-1.89,1.23,0,445333.0,True
28,28,0,2,8,0,1.0,-0.82,-1.52,3.0,0.26,0,449296.0,True
29,29,0,2,9,0,1.0,-1.22,-1.26,0.18,1.82,0,453542.0,True
30,30,0,3,0,1,1.0,0.04,-0.51,0.78,-0.83,1,463048.0,True
31,31,0,3,1,1,1.0,0.0,-1.02,0.72,-0.41,1,468975.0,True
32,32,0,3,2,0,1.0,2.06,2.0,-2.67,1.91,0,474169.0,True
33,33,0,3,3,0,1.0,0.66,0.83,-1.18,1.0,0,479983.0,True
34,34,0,3,4,1,1.0,-0.86,-0.18,0.92,-0.48,1,488539.0,True
35,35,0,3,5,0,1.0,0.38,2.11,-1.88,2.38,0,494424.0,True
36,36,0,3,6,0,1.0,2.03,0.26,0.41,-1.14,0,499149.0,True
37,37,0,3,7,1,1.0,-0.98,-2.35,2.66,-1.42,1,502728.0,True
38,38,0,3,8,0,1.0,0.5,0.48,-0.91,-0.26,0,506660.0,True
39,39,0,3,9,0,1.0,1.11,4.6,-0.31,4.06,0,510575.0,True
40,40,0,4,0,1,-1.0,-0.6,-0.16,0.4,-0.25,0,519080.0,True
41,41,0,4,1,1,1.0,0.9,0.93,-0.22,1.6,1,522818.0,True
42,42,0,4,2,1,1.0,1.01,-1.16,1.28,-2.38,1,527471.0,True
43,43,0,4,3,1,1.0,0.46,1.46,1.71,-0.83,1,532239.0,True
44,44,0,4,4,1,1.0,1.26,1.75,1.6,0.07,1,535705.0,True
45,45,0,4,5,1,1.0,2.19,0.94,2.38,-0.87,1,538693.0,True
46,46,0,4,6,1,1.0,1.08,0.34,0.75,-0.12,1,543544.0,True
47,47,0,4,7,1,1.0,0.38,1.0,2.2,-0.92,1,547074.0,True
48,48,0,4,8,0,1.0,-1.97,0.86,-1.62,1.46,0,550927.0,True
49,49,0,4,9,0,1.0,-0.71,-0.51,0.09,-0.02,0,553864.0,True
50,50,0,5,0,1,1.0,2.26,-0.62,-0.14,-1.18,1,559769.0,True
51,51,0,5,1,1,1.0,-0.02,-2.0,-0.42,-0.66,1,564663.0,True
52,52,0,5,2,1,1.0,1.4,-0.3,-0.05,-0.37,1,570231.0,True
53,53,0,5,3,0,1.0,-0.73,1.87,0.18,0.29,0,575697.0,True
54,54,0,5,4,1,1.0,0.89,-1.73,0.35,0.75,1,580760.0,True
55,55,0,5,5,1,1.0,1.27,-1.47,-0.86,0.71,1,584865.0,True
56,56,0,5,6,0,1.0,-0.21,-0.39,1.5,0.9,0,593432.0,True
57,57,0,5,7,1,1.0,2.46,-1.32,-3.77,0.82,1,599674.0,True
58,58,0,5,8,1,-1.0,0.18,0.88,-0.34,-1.18,0,604587.0,True
59,59,0,5,9,0,1.0,-0.23,0.42,1.67,1.03,0,610686.0,True
60,60,0,6,0,1,1.0,0.79,0.75,1.02,-0.8,1,618623.0,True
61,61,0,6,1,0,1.0,-1.05,-1.47,-1.61,0.78,0,621756.0,True
62,62,0,6,2,0,1.0,-0.19,-1.2,1.39,0.58,0,625055.0,True
63,63,0,6,3,0,1.0,-1.91,0.37,0.26,-1.41,0,627937.0,True
64,64,0,6,4,0,1.0,-0.61,0.03,0.26,0.19,0,631129.0,True
65,65,0,6,5,1,1.0,1.11,-1.64,-0.21,1.92,1,635142.0,True
66,66,0,6,6,1,1.0,0.85,-0.15,1.56,1.24,1,638134.0,True
67,67,0,6,7,0,1.0,-1.75,-0.04,0.6,0.49,0,640811.0,True
68,68,0,6,8,0,1.0,-3.47,-2.0,-1.5,1.88,0,643617.0,True
69,69,0,6,9,0,1.0,-1.25,0.17,-0.76,-0.78,0,646795.0,True
70,70,0,7,0,0,-1.0,-1.19,-0.72,0.77,0.69,1,652745.0,True
71,71,0,7,1,0,1.0,3.08,-0.65,0.85,0.52,0,656388.0,True
72,72,0,7,2,1,-1.0,-0.56,2.04,0.92,1.34,0,659874.0,True
73,73,0,7,3,0,-1.0,0.47,-1.31,0.94,-0.86,1,664994.0,True
74,74,0,7,4,1,-1.0,3.32,-2.04,-0.14,-0.89,0,671540.0,True
75,75,0,7,5,0,1.0,3.02,0.26,-0.22,0.58,0,677868.0,True
76,76,0,7,6,1,1.0,-0.95,0.38,2.75,0.91,1,686897.0,True
77,77,0,7,7,0,-1.0,0.67,-1.27,-1.59,-1.85,1,691855.0,True
78,78,0,7,8,1,1.0,-0.24,-0.22,-1.31,-2.82,1,696403.0,True
79,79,0,7,9,0,1.0,2.09,2.26,1.19,2.39,0,699584.0,True
80,80,0,8,0,1,1.0,-1.66,-0.82,0.22,0.07,1,705492.0,True
81,81,0,8,1,0,-1.0,1.92,-3.32,-0.32,0.38,1,708778.0,True
82,82,0,8,2,0,1.0,2.19,-0.97,-0.84,-0.63,0,711926.0,True
83,83,0,8,3,0,-1.0,0.23,-1.68,-0.16,-1.37,1,717747.0,True
84,84,0,8,4,0,1.0,1.16,-0.26,-0.91,-1.48,0,725330.0,True
85,85,0,8,5,0,1.0,0.14,0.84,-0.67,1.22,0,731854.0,True
86,86,0,8,6,0,1.0,0.03,1.56,2.06,0.13,0,739435.0,True
87,87,0,8,7,0,1.0,1.09,-0.1,1.3,3.13,0,743709.0,True
88,88,0,8,8,0,-1.0,-1.8,0.55,4.57,3.1,1,749235.0,True
89,89,0,8,9,1,1.0,-0.33,0.41,-1.3,-0.93,1,756113.0,True
90,90,0,9,0,0,1.0,0.71,-1.0,-0.57,0.78,0,764356.0,True
91,91,0,9,1,1,1.0,-1.36,1.74,0.19,-0.45,1,767835.0,True
92,92,0,9,2,1,-1.0,-0.11,0.96,-0.54,-0.64,0,771797.0,True
93,93,0,9,3,1,1.0,-0.61,0.56,-1.59,-0.13,1,775604.0,True
94,94,0,9,4,1,1.0,-1.78,1.36,1.28,-1.45,1,778646.0,True
95,95,0,9,5,0,1.0,0.27,0.93,2.02,0.01,0,781795.0,True
96,96,0,9,6,0,1.0,1.9,-1.68,-2.32,0.86,0,784774.0,True
97,97,0,9,7,1,1.0,-0.65,0.05,0.09,-0.06,1,787879.0,True
98,98,0,9,8,0,1.0,0.99,-0.28,-1.48,0.17,0,791573.0,True
99,99,0,9,9,1,-1.0,-0.27,0.25,1.44,0.9,0,794708.0,True
100,100,0,10,0,0,1.0,0.21,-0.13,0.29,0.65,0,800601.0,True
101,101,0,10,1,1,1.0,-1.6,-1.34,2.52,1.47,1,803605.0,True
102,102,0,10,2,0,1.0,1.27,0.4,-0.5,-1.75,0,806893.0,True
103,103,0,10,3,0,1.0,1.82,0.74,-1.81,-1.67,0,809785.0,True
104,104,0,10,4,0,-1.0,0.27,0.2,1.2,1.08,1,812779.0,True
105,105,0,10,5,0,1.0,0.26,-0.25,0.66,0.25,0,816100.0,True
106,106,0,10,6,1,1.0,-0.83,-0.14,0.8,0.5,1,820808.0,True
107,107,0,10,7,0,1.0,0.21,-1.33,0.58,0.87,0,824091.0,True
108,108,0,10,8,1,-1.0,-1.3,-1.71,1.53,2.32,0,827132.0,True
109,109,0,10,9,1,-1.0,-0.32,-1.38,0.58,0.47,0,830401.0,True
110,110,0,11,0,1,1.0,-0.29,0.75,0.97,1.57,1,836784.0,True
111,111,0,11,1,0,1.0,2.41,-2.12,2.5,1.81,0,841436.0,True
112,112,0,11,2,0,1.0,1.38,-0.4,0.66,-0.09,0,845681.0,True
113,113,0,11,3,0,-1.0,1.18,0.33,2.54,1.73,1,851285.0,True
114,114,0,11,4,0,1.0,1.11,-1.97,-1.83,-1.26,0,855780.0,True
115,115,0,11,5,1,1.0,-1.6,-0.36,-1.29,-0.04,1,858737.0,True
116,116,0,11,6,0,-1.0,1.71,1.35,1.8,2.44,1,862203.0,True
117,117,0,11,7,0,1.0,0.94,-2.55,-1.89,-1.03,0,865827.0,True
118,118,0,11,8,0,-1.0,0.2,-0.64,0.8,1.95,1,870684.0,True
119,119,0,11,9,0,1.0,1.58,1.57,0.9,-2.19,0,874002.0,True
120,120,0,12,0,0,1.0,1.52,-1.58,-0.18,1.25,0,879158.0,True
121,121,0,12,1,0,1.0,0.95,-0.05,0.69,-0.24,0,883881.0,True
122,122,0,12,2,0,1.0,0.34,0.8,-1.56,0.75,0,888528.0,True
123,123,0,12,3,1,1.0,-2.61,0.89,-0.79,0.11,1,891905.0,True
124,124,0,12,4,0,-1.0,1.57,-1.43,1.52,-0.13,1,895217.0,True
125,125,0,12,5,1,1.0,-1.19,0.25,0.65,2.28,1,898907.0,True
126,126,0,12,6,0,1.0,1.07,-0.62,-0.32,0.37,0,902482.0,True
127,127,0,12,7,0,1.0,0.75,0.99,-0.66,0.08,0,905592.0,True
128,128,0,12,8,1,-1.0,-2.31,2.25,-1.23,-1.33,0,909310.0,True
129,129,0,12,9,0,1.0,0.37,0.44,-0.14,-1.55,0,916815.0,True
130,130,0,13,0,1,-1.0,-0.54,0.43,-1.09,-1.76,0,922265.0,True
131,131,0,13,1,1,1.0,2.03,-0.21,2.42,0.46,1,925968.0,True
132,132,0,13,2,0,-1.0,-4.19,4.34,-1.96,-1.4,1,928991.0,True
133,133,0,13,3,1,-1.0,2.56,-2.91,2.18,-1.56,0,933443.0,True
134,134,0,13,4,0,1.0,1.2,-1.28,0.9,0.06,0,939465.0,True
135,135,0,13,5,1,-1.0,-0.15,-1.03,-0.97,0.91,0,943673.0,True
136,136,0,13,6,1,-1.0,-1.03,-0.67,-1.57,-0.06,0,947139.0,True
137,137,0,13,7,1,1.0,-2.97,1.0,-3.97,-0.51,1,950314.0,True
138,138,0,13,8,1,-1.0,-0.78,0.48,-2.35,-0.39,0,954612.0,True
139,139,0,13,9,1,1.0,-2.1,1.03,1.37,1.56,1,962388.0,True
140,140,0,14,0,1,-1.0,-4.4,1.08,0.7,-2.67,0,967399.0,True
141,141,0,14,1,0,1.0,-0.08,0.78,-0.86,0.39,0,970699.0,True
142,142,0,14,2,1,-1.0,0.19,2.12,-0.15,-1.44,0,974180.0,True
143,143,0,14,3,1,1.0,0.91,0.49,-1.06,-0.59,1,977570.0,True
144,144,0,14,4,1,-1.0,1.24,3.28,-0.98,-0.06,0,981556.0,True
145,145,0,14,5,0,1.0,-0.22,0.33,1.4,-1.73,0,984604.0,True
146,146,0,14,6,1,-1.0,0.4,1.65,-0.26,0.64,0,990216.0,True
147,147,0,14,7,1,1.0,1.09,-1.63,-1.66,2.16,1,995376.0,True
148,148,0,14,8,0,1.0,-0.47,2.03,-2.5,0.83,0,1000593.0,True
149,149,0,14,9,1,1.0,0.84,-2.11,3.43,-0.72,1,1005721.0,True
150,150,0,15,0,0,1.0,0.02,-0.11,0.66,2.57,0,1013311.0,True
151,151,0,15,1,1,1.0,-1.42,-0.1,-1.55,-2.27,1,1018718.0,True
152,152,0,15,2,1,1.0,-1.98,0.43,1.75,1.15,1,1022597.0,True
153,153,0,15,3,1,1.0,-1.3,2.0,1.86,-1.06,1,1025766.0,True
154,154,0,15,4,0,1.0,0.79,-0.24,2.16,0.99,0,1028846.0,True
155,155,0,15,5,0,1.0,1.45,0.18,-0.69,0.33,0,1031773.0,True
156,156,0,15,6,1,1.0,-0.02,0.27,0.13,0.02,1,1041832.0,True
157,157,0,15,7,0,-1.0,0.56,1.01,-2.39,0.87,1,1045577.0,True
158,158,0,15,8,0,1.0,0.69,1.77,0.79,-0.71,0,1047850.0,True
159,159,0,15,9,0,1.0,1.62,-1.13,-1.7,1.89,0,1051019.0,True
160,160,0,16,0,1,-1.0,-1.53,1.01,-1.36,0.17,0,1055979.0,True
161,161,0,16,1,0,1.0,-1.04,-0.54,-0.14,-0.22,0,1058933.0,True
162,162,0,16,2,0,1.0,0.24,-1.27,0.26,-0.08,0,1062586.0,True
163,163,0,16,3,1,1.0,0.64,1.6,-0.53,2.13,1,1067285.0,True
164,164,0,16,4,0,1.0,-0.12,-0.22,0.04,-2.88,0,1071460.0,True
165,165,0,16,5,0,1.0,-2.7,-0.3,-0.72,2.7,0,1074418.0,True
166,166,0,16,6,0,1.0,-2.77,0.26,-1.07,0.72,0,1077234.0,True
167,167,0,16,7,1,1.0,1.79,-0.57,2.64,-1.95,1,1080255.0,True
168,168,0,16,8,0,1.0,-2.01,-1.17,-0.1,-0.11,0,1083427.0,True
169,169,0,16,9,0,1.0,-0.59,-3.37,2.32,1.1,0,1087959.0,True
170,170,0,17,0,1,1.0,-0.1,1.12,-1.54,-0.36,1,1095118.0,True
171,171,0,17,1,1,1.0,-1.99,2.69,-0.5,-1.87,1,1099888.0,True
172,172,0,17,2,1,1.0,0.04,0.3,1.31,0.34,1,1107817.0,True
173,173,0,17,3,1,1.0,-0.77,-1.36,1.44,-0.53,1,1111847.0,True
174,174,0,17,4,1,1.0,-1.05,-1.47,0.42,-1.99,1,1118344.0,True
175,175,0,17,5,0,1.0,1.09,-1.64,-0.55,-1.09,0,1122747.0,True
176,176,0,17,6,0,-1.0,0.47,2.01,-0.97,-2.1,1,1125947.0,True
177,177,0,17,7,0,1.0,2.07,0.75,2.97,2.88,0,1129328.0,True
178,178,0,17,8,1,1.0,-0.71,-0.08,1.91,0.49,1,1132472.0,True
179,179,0,17,9,1,1.0,-1.45,-0.68,2.37,-0.53,1,1136419.0,True
180,180,0,18,0,1,1.0,-0.39,1.71,1.58,-1.42,1,1150507.0,True
181,181,0,18,1,0,1.0,1.89,-1.86,-0.84,1.6,0,1153627.0,True
182,182,0,18,2,0,1.0,1.96,-3.72,-2.58,1.84,0,1156344.0,True
183,183,0,18,3,1,-1.0,0.19,-3.63,-2.09,1.19,0,1159100.0,True
184,184,0,18,4,1,1.0,0.1,-0.46,-0.71,1.05,1,1163335.0,True
185,185,0,18,5,1,1.0,-0.83,2.84,-0.03,-0.51,1,1167606.0,True
186,186,0,18,6,1,1.0,-1.9,1.22,-0.5,0.39,1,1170619.0,True
187,187,0,18,7,1,1.0,-0.37,0.38,-0.61,-0.08,1,1173659.0,True
188,188,0,18,8,0,1.0,1.32,-1.2,-0.97,0.6,0,1176726.0,True
189,189,0,18,9,0,1.0,1.77,-2.05,-1.52,1.35,0,1179867.0,True
190,190,0,19,0,1,-1.0,0.73,0.28,-0.27,-0.68,0,1186111.0,True
191,191,0,19,1,1,-1.0,0.48,-0.95,0.08,-0.55,0,1189398.0,True
192,192,0,19,2,0,1.0,0.53,-0.49,0.01,-1.52,0,1192907.0,True
193,193,0,19,3,0,1.0,1.25,1.32,-0.02,-1.68,0,1196034.0,True
194,194,0,19,4,1,-1.0,-0.66,-0.87,0.05,-0.44,0,1199214.0,True
195,195,0,19,5,1,1.0,-1.05,1.25,-1.49,-0.72,1,1203857.0,True
196,196,0,19,6,0,1.0,0.62,-2.16,0.76,0.55,0,1207659.0,True
197,197,0,19,7,0,1.0,3.56,-1.93,4.18,-0.28,0,1210766.0,True
198,198,0,19,8,0,-1.0,0.66,1.17,0.43,-0.98,1,1213936.0,True
199,199,0,19,9,0,1.0,2.0,-0.96,2.23,-2.42,0,1216556.0,True
200,200,0,20,0,1,1.0,-1.49,1.49,-1.75,1.42,1,1221296.0,True
201,201,0,20,1,1,1.0,-1.88,0.64,0.01,1.31,1,1223943.0,True
202,202,0,20,2,1,-1.0,-0.63,-0.21,0.65,-2.01,0,1226581.0,True
203,203,0,20,3,1,1.0,-1.66,1.29,-1.33,2.35,1,1229950.0,True
204,204,0,20,4,1,1.0,-2.21,2.89,-2.23,-0.02,1,1232777.0,True
205,205,0,20,5,1,1.0,-1.22,-1.49,0.33,0.78,1,1235424.0,True
206,206,0,20,6,1,1.0,-0.56,1.2,-1.61,1.66,1,1238291.0,True
207,207,0,20,7,1,1.0,-1.59,-0.52,-1.06,1.04,1,1241217.0,True
208,208,0,20,8,1,1.0,-0.73,0.4,-0.35,2.16,1,1244131.0,True
209,209,0,20,9,0,-1.0,1.46,1.23,1.48,1.84,1,1248153.0,True
210,210,0,21,0,1,1.0,-0.8,-1.7,1.73,-1.08,1,1253554.0,True
211,211,0,21,1,0,1.0,0.31,0.0,-1.04,-0.45,0,1256977.0,True
212,212,0,21,2,1,1.0,-2.02,-0.5,1.18,-0.52,1,1259960.0,True
213,213,0,21,3,0,-1.0,0.41,-1.61,2.61,-0.51,1,1263224.0,True
214,214,0,21,4,1,1.0,-0.25,-1.62,0.28,-1.61,1,1267017.0,True
215,215,0,21,5,1,1.0,-3.05,-1.06,2.36,-1.86,1,1269901.0,True
216,216,0,21,6,1,1.0,-1.08,0.6,0.26,0.68,1,1273943.0,True
217,217,0,21,7,1,1.0,-0.22,0.08,1.71,2.8,1,1277404.0,True
218,218,0,21,8,0,1.0,2.64,-1.56,-0.09,0.22,0,1280618.0,True
