,Unnamed: 0,participant,task,trial,choice,reward,x0,x1,target,time,is_training
0,0,0,0,0,1,1.0,-1.46,-1.73,1,408313.0,True
1,1,0,0,1,0,-1.0,-0.44,0.16,1,420379.0,True
2,2,0,0,2,1,1.0,-0.81,0.37,1,431205.0,True
3,3,0,0,3,0,1.0,1.84,-0.19,0,442959.0,True
4,4,0,0,4,1,1.0,-1.3,-1.44,1,448754.0,True
5,5,0,0,5,1,1.0,-2.96,-1.33,1,452520.0,True
6,6,0,0,6,1,-1.0,-0.09,1.06,0,460666.0,True
7,7,0,0,7,0,1.0,0.2,1.54,0,465610.0,True
8,8,0,0,8,1,1.0,-0.55,-1.14,1,470618.0,True
9,9,0,0,9,0,1.0,0.92,-0.63,0,475624.0,True
10,10,0,1,0,1,1.0,0.74,0.28,1,507896.0,True
11,11,0,1,1,1,-1.0,-0.04,0.49,0,513261.0,True
12,12,0,1,2,0,1.0,-1.02,-2.08,0,518471.0,True
13,13,0,1,3,1,1.0,1.14,0.99,1,523164.0,True
14,14,0,1,4,1,1.0,1.18,1.74,1,527871.0,True
15,15,0,1,5,0,1.0,-0.33,-1.32,0,533561.0,True
16,16,0,1,6,1,-1.0,0.08,1.15,0,538203.0,True
17,17,0,1,7,0,1.0,-3.02,-3.11,0,542789.0,True
18,18,0,1,8,0,1.0,-1.8,-1.67,0,546315.0,True
19,19,0,1,9,1,-1.0,-0.06,0.69,0,551466.0,True
20,20,0,2,0,0,-1.0,-1.51,-1.98,1,574798.0,True
21,21,0,2,1,1,1.0,-1.65,-2.58,1,579751.0,True
22,22,0,2,2,0,-1.0,0.01,-0.33,1,585776.0,True
23,23,0,2,3,0,1.0,2.89,2.25,0,590105.0,True
24,24,0,2,4,0,1.0,-0.65,0.5,0,593839.0,True
25,25,0,2,5,0,1.0,1.71,1.01,0,597279.0,True
26,26,0,2,6,1,1.0,-4.35,-3.19,1,600996.0,True
27,27,0,2,7,1,-1.0,-0.2,-0.1,0,604966.0,True
28,28,0,2,8,1,-1.0,-2.5,-0.31,0,610621.0,True
29,29,0,2,9,0,1.0,0.09,0.76,0,614403.0,True
30,30,0,3,0,1,1.0,0.9,-0.19,1,643331.0,True
31,31,0,3,1,0,1.0,-0.24,0.05,0,649765.0,True
32,32,0,3,2,0,1.0,-2.36,3.3,0,654600.0,True
33,33,0,3,3,0,-1.0,-0.12,0.71,1,661809.0,True
34,34,0,3,4,0,-1.0,-0.54,3.0,1,669406.0,True
35,35,0,3,5,1,-1.0,-0.55,0.64,0,676771.0,True
36,36,0,3,6,1,1.0,0.71,-0.25,1,681176.0,True
37,37,0,3,7,1,1.0,1.43,-1.06,1,685583.0,True
38,38,0,3,8,0,1.0,-1.38,-1.08,0,690248.0,True
39,39,0,3,9,0,1.0,-1.71,3.46,0,694389.0,True
40,40,0,4,0,1,1.0,1.58,-2.55,1,716992.0,True
41,41,0,4,1,1,-1.0,-0.31,0.2,0,722775.0,True
42,42,0,4,2,0,1.0,-0.47,-0.56,0,728618.0,True
43,43,0,4,3,1,1.0,-0.53,2.16,1,734260.0,True
44,44,0,4,4,0,1.0,-2.74,-0.11,0,741331.0,True
45,45,0,4,5,1,1.0,-0.4,2.5,1,744966.0,True
46,46,0,4,6,0,1.0,-0.85,-0.64,0,748492.0,True
47,47,0,4,7,1,1.0,0.13,0.73,1,752415.0,True
48,48,0,4,8,1,-1.0,-0.88,0.28,0,758503.0,True
