,participant,task,trial,choice,reward,setsize,state,imageseq,folderseq,iterseq,corchoice,key,cor,rt,cond,pcor,delay,subno,is_training
0,0,0,0,0,0,6,1,0.0,3.0,0.0,1,31.0,0.0,2.807862046000082,1,0.0,,3093.0,True
1,0,0,1,1,0,6,0,3.0,3.0,0.0,0,30.0,0.0,1.0694573429996126,1,0.0,,3093.0,True
2,0,0,2,2,1,6,4,2.0,3.0,0.0,2,32.0,1.0,1.028125430000273,1,0.0,,3093.0,True
3,0,0,3,0,0,6,5,1.0,3.0,0.0,2,31.0,0.0,0.8892325920000985,1,0.0,,3093.0,True
4,0,0,4,1,1,6,3,4.0,3.0,0.0,1,30.0,1.0,0.8085252860000764,1,0.0,,3093.0,True
5,0,0,5,1,1,6,3,4.0,3.0,1.0,1,30.0,1.0,0.5579179669998666,1,1.0,1.0,3093.0,True
6,0,0,6,2,1,6,4,2.0,3.0,1.0,2,32.0,1.0,0.5828084490003675,1,1.0,4.0,3093.0,True
7,0,0,7,0,0,6,2,5.0,3.0,0.0,1,31.0,0.0,0.6859968590001699,1,0.0,,3093.0,True
8,0,0,8,0,0,6,1,0.0,3.0,1.0,1,31.0,0.0,1.6615219270001944,1,0.0,,3093.0,True
9,0,0,9,0,0,6,5,1.0,3.0,1.0,2,31.0,0.0,1.0273537699999906,1,0.0,,3093.0,True
10,0,0,10,0,0,6,2,5.0,3.0,1.0,1,31.0,0.0,0.7803554530000838,1,0.0,,3093.0,True
11,0,0,11,2,0,6,0,3.0,3.0,1.0,0,32.0,0.0,0.9195596810000096,1,0.0,,3093.0,True
12,0,0,12,1,1,6,3,4.0,3.0,2.0,1,30.0,1.0,0.5480196100002104,1,2.0,7.0,3093.0,True
13,0,0,13,1,1,6,3,4.0,3.0,3.0,1,30.0,1.0,0.5251692649999313,1,3.0,1.0,3093.0,True
14,0,0,14,2,1,6,5,1.0,3.0,2.0,2,32.0,1.0,0.6784364190002634,1,0.0,,3093.0,True
15,0,0,15,2,0,6,1,0.0,3.0,2.0,1,32.0,0.0,0.7779889079997702,1,0.0,,3093.0,True
16,0,0,16,2,1,6,4,2.0,3.0,2.0,2,32.0,1.0,0.6843873799998619,1,2.0,10.0,3093.0,True
17,0,0,17,0,0,6,1,0.0,3.0,3.0,1,31.0,0.0,0.9362068300001738,1,0.0,,3093.0,True
18,0,0,18,0,1,6,0,3.0,3.0,2.0,0,31.0,1.0,1.0439925809996566,1,0.0,,3093.0,True
19,0,0,19,0,0,6,5,1.0,3.0,3.0,2,31.0,0.0,0.8410102630000438,1,1.0,5.0,3093.0,True
20,0,0,20,2,1,6,4,2.0,3.0,3.0,2,32.0,1.0,0.6010086349997437,1,3.0,4.0,3093.0,True
21,0,0,21,0,0,6,2,5.0,3.0,2.0,1,31.0,0.0,0.7119085809999888,1,0.0,,3093.0,True
22,0,0,22,0,1,6,0,3.0,3.0,3.0,0,31.0,1.0,0.8375267589999567,1,1.0,4.0,3093.0,True
23,0,0,23,0,0,6,2,5.0,3.0,3.0,1,31.0,0.0,0.7228321299999152,1,0.0,,3093.0,True
24,0,0,24,1,1,6,3,4.0,3.0,4.0,1,30.0,1.0,0.447525085000052,1,4.0,11.0,3093.0,True
25,0,0,25,2,0,6,1,0.0,3.0,4.0,1,32.0,0.0,1.0689442249999956,1,0.0,,3093.0,True
26,0,0,26,2,1,6,5,1.0,3.0,4.0,2,32.0,1.0,0.8270266969998374,1,1.0,12.0,3093.0,True
27,0,0,27,2,1,6,4,2.0,3.0,4.0,2,32.0,1.0,0.513045074999809,1,4.0,7.0,3093.0,True
28,0,0,28,0,1,6,0,3.0,3.0,4.0,0,31.0,1.0,0.7391511969999556,1,2.0,6.0,3093.0,True
29,0,0,29,0,0,6,1,0.0,3.0,5.0,1,31.0,0.0,0.7245836160000181,1,0.0,,3093.0,True
30,0,0,30,1,1,6,3,4.0,3.0,5.0,1,30.0,1.0,0.4814140500002395,1,5.0,6.0,3093.0,True
31,0,0,31,2,1,6,4,2.0,3.0,5.0,2,32.0,1.0,0.6291985979996753,1,5.0,4.0,3093.0,True
32,0,0,32,0,1,6,0,3.0,3.0,5.0,0,31.0,1.0,0.7063540529998136,1,3.0,4.0,3093.0,True
33,0,0,33,0,0,6,2,5.0,3.0,4.0,1,31.0,0.0,0.6051643569999214,1,0.0,,3093.0,True
34,0,0,34,0,0,6,2,5.0,3.0,5.0,1,31.0,0.0,0.7036356430003252,1,0.0,,3093.0,True
35,0,0,35,1,1,6,3,4.0,3.0,6.0,1,30.0,1.0,0.6531175899999653,1,6.0,5.0,3093.0,True
36,0,0,36,0,0,6,5,1.0,3.0,5.0,2,31.0,0.0,0.7460612810000384,1,2.0,10.0,3093.0,True
37,0,0,37,2,0,6,1,0.0,3.0,6.0,1,32.0,0.0,1.0060817509997833,1,0.0,,3093.0,True
38,0,0,38,1,0,6,0,3.0,3.0,6.0,0,30.0,0.0,1.1443401950000407,1,4.0,6.0,3093.0,True
39,0,0,39,1,0,6,5,1.0,3.0,6.0,2,30.0,0.0,1.0684354189997975,1,2.0,13.0,3093.0,True
40,0,0,40,2,1,6,4,2.0,3.0,6.0,2,32.0,1.0,0.6102883630001088,1,6.0,9.0,3093.0,True
41,0,0,41,2,1,6,4,2.0,3.0,7.0,2,32.0,1.0,0.6575935969999591,1,7.0,1.0,3093.0,True
42,0,0,42,2,0,6,1,0.0,3.0,7.0,1,32.0,0.0,1.0051485190001586,1,0.0,,3093.0,True
43,0,0,43,1,1,6,3,4.0,3.0,7.0,1,30.0,1.0,0.6156415379996361,1,7.0,8.0,3093.0,True
44,0,0,44,1,1,6,2,5.0,3.0,6.0,1,30.0,1.0,0.9812165970001844,1,0.0,,3093.0,True
45,0,0,45,1,1,6,2,5.0,3.0,7.0,1,30.0,1.0,0.7963392949995978,1,1.0,1.0,3093.0,True
46,0,0,46,1,1,6,3,4.0,3.0,8.0,1,30.0,1.0,0.5386450580003839,1,8.0,3.0,3093.0,True
47,0,0,47,1,0,6,0,3.0,3.0,7.0,0,30.0,0.0,0.8525476200002231,1,4.0,15.0,3093.0,True
48,0,0,48,1,1,6,1,0.0,3.0,8.0,1,30.0,1.0,1.075848828999824,1,0.0,,3093.0,True
49,0,0,49,1,0,6,5,1.0,3.0,7.0,2,30.0,0.0,0.942705740999827,1,2.0,23.0,3093.0,True
50,0,0,50,1,0,6,0,3.0,3.0,8.0,0,30.0,0.0,0.7304041429997596,1,4.0,18.0,3093.0,True
51,0,0,51,1,0,6,5,1.0,3.0,8.0,2,30.0,0.0,0.791754544000014,1,2.0,25.0,3093.0,True
52,0,0,52,2,1,6,4,2.0,3.0,8.0,2,32.0,1.0,0.6253882979999617,1,8.0,11.0,3093.0,True
53,0,0,53,2,0,6,2,5.0,3.0,8.0,1,32.0,0.0,0.8397282519999862,1,2.0,8.0,3093.0,True
54,0,0,54,1,0,6,0,3.0,3.0,9.0,0,30.0,0.0,0.7841025379998428,1,4.0,22.0,3093.0,True
55,0,0,55,1,0,6,0,3.0,3.0,10.0,0,30.0,0.0,0.6833458460000656,1,4.0,23.0,3093.0,True
56,0,0,56,2,0,6,1,0.0,3.0,9.0,1,32.0,0.0,0.8185097600003246,1,1.0,8.0,3093.0,True
57,0,0,57,2,0,6,2,5.0,3.0,9.0,1,32.0,0.0,0.8510583289998976,1,2.0,12.0,3093.0,True
58,0,0,58,2,0,6,1,0.0,3.0,10.0,1,32.0,0.0,0.7477797049996298,1,1.0,10.0,3093.0,True
59,0,0,59,2,1,6,4,2.0,3.0,9.0,2,32.0,1.0,0.6157798039998852,1,9.0,7.0,3093.0,True
60,0,0,60,2,1,6,4,2.0,3.0,10.0,2,32.0,1.0,0.5902962340001068,1,10.0,1.0,3093.0,True
61,0,0,61,0,0,6,2,5.0,3.0,10.0,1,31.0,0.0,0.7885594489998766,1,2.0,16.0,3093.0,True
62,0,0,62,0,0,6,5,1.0,3.0,9.0,2,31.0,0.0,0.8240360160002638,1,2.0,36.0,3093.0,True
63,0,0,63,1,0,6,5,1.0,3.0,10.0,2,30.0,0.0,0.8572722539997812,1,2.0,37.0,3093.0,True
64,0,0,64,1,1,6,3,4.0,3.0,9.0,1,30.0,1.0,0.688422891999835,1,9.0,18.0,3093.0,True
65,0,0,65,1,1,6,3,4.0,3.0,10.0,1,30.0,1.0,0.6040364099999351,1,10.0,1.0,3093.0,True
66,0,0,66,1,0,6,0,3.0,3.0,11.0,0,30.0,0.0,0.9144392590001188,1,4.0,34.0,3093.0,True
67,0,0,67,1,1,6,1,0.0,3.0,11.0,1,30.0,1.0,0.9915912460000982,1,1.0,19.0,3093.0,True
68,0,0,68,1,1,6,1,0.0,3.0,12.0,1,30.0,1.0,0.7587153520003085,1,2.0,1.0,3093.0,True
69,0,0,69,1,1,6,2,5.0,3.0,11.0,1,30.0,1.0,0.6868252740000571,1,2.0,24.0,3093.0,True
70,0,0,70,1,0,6,0,3.0,3.0,12.0,0,30.0,0.0,0.7858808219998537,1,4.0,38.0,3093.0,True
71,0,0,71,2,1,6,4,2.0,3.0,11.0,2,32.0,1.0,0.7009552579997944,1,11.0,11.0,3093.0,True
72,0,0,72,1,0,6,5,1.0,3.0,11.0,2,30.0,0.0,0.8082043330000488,1,2.0,46.0,3093.0,True
73,0,0,73,2,1,6,5,1.0,3.0,12.0,2,32.0,1.0,0.817182216999754,1,2.0,47.0,3093.0,True
74,0,0,74,2,1,6,4,2.0,3.0,12.0,2,32.0,1.0,0.7512774799997715,1,12.0,3.0,3093.0,True
75,0,0,75,2,0,6,2,5.0,3.0,12.0,1,32.0,0.0,0.7835869000000457,1,3.0,6.0,3093.0,True
76,0,0,76,1,1,6,3,4.0,3.0,11.0,1,30.0,1.0,0.6830976460000784,1,11.0,11.0,3093.0,True
77,0,0,77,2,0,6,1,0.0,3.0,13.0,1,32.0,0.0,0.9905799890002528,1,3.0,9.0,3093.0,True
78,0,0,78,1,1,6,3,4.0,3.0,12.0,1,30.0,1.0,0.7441668450001089,1,12.0,2.0,3093.0,True
79,0,0,79,2,0,6,1,0.0,3.0,14.0,1,32.0,0.0,0.841583202000038,1,3.0,11.0,3093.0,True
