AMAS_total AMAS_lma AMAs_mea
42	22	20
27	13	14
31	13	18
24	8	16
13	5	8
26	11	15
28	11	17
25	9	16
33	17	16
21	7	14
30	15	15
30	12	18
19	5	14
27	7	20
29	10	19
37	19	18
15	7	8
23	9	14
26	11	15
20	7	13
36	18	18
33	14	19
21	6	15
29	11	18
27	8	19
15	8	7
18	7	11
34	15	19
26	15	11
14	5	9
17	7	10
37	18	19
31	15	16
22	8	14
25	10	15
30	11	19
23	9	14
23	10	13
42	22	20
35	18	17
31	14	17
14	6	8
17	6	11
21	7	14
21	9	12
20	7	13
22	9	13
17	7	10
25	9	16
19	7	12
35	17	18
19	6	13
22	8	14
27	10	17
25	11	14
30	11	19
26	8	18
28	15	13
18	7	11
19	8	11
27	10	17
27	10	17
33	13	20
23	9	14
21	9	12
31	12	19
24	15	9
34	17	17
23	10	13
31	13	18
20	8	12
17	9	8
15	6	9
35	17	18
28	14	14
29	13	16
22	8	14
25	11	14
30	12	18
19	5	14
