"Subject" "Age" "Handedness" "Sex" "Counterbalance" "afleider" "brugofniet" "opgaveAbstr" "operator.SubTrial." "PostConf.RESP.SubTrial." "PreCj.RESP.SubTrial." "stim1.SubTrial." "stim2.SubTrial." "Target.ACC.SubTrial." "Target.RT.SubTrial." "Procedure.SubTrial." "antwoord.SubTrial."
"31" 1 20 "left" "female" 1 "Incorrect_Unrelated" "na" "XX*XX" "*" "3" 9 13 13 1 1687 "TrialProcStim" 168
"32" 1 20 "left" "female" 1 "First_Digit_Incorrect" "Geen brug" "XX-X" "-" "1" 1 67 3 1 2320 "TrialProcStim" 54
"33" 1 20 "left" "female" 1 "Last_Digit_Incorrect" "Geen brug" "XXX-XX" "-" "8" 3 398 66 1 2237 "TrialProcStim" 338
"34" 1 20 "left" "female" 1 "Incorrect_Unrelated" "na" "XX*XX" "*" "2" 2 12 12 1 1317 "TrialProcStim" 143
"35" 1 20 "left" "female" 1 "Incorrect_Related" "na" "XX*X" "*" "{SPACE}" 9 24 5 0 0 "TrialProcStim" 96
"36" 1 20 "left" "female" 1 "Middle_Digit_Incorrect" "Geen brug" "XXX-XXX" "-" "9" 9 677 160 1 2396 "TrialProcStim" 527
"37" 1 20 "left" "female" 1 "Second_Digit_Incorrect" "Geen brug" "XX-XX" "-" "2" 2 39 18 1 2666 "TrialProcStim" 29
"38" 1 20 "left" "female" 1 "Correct" "Brug" "XXX-XX" "-" "3" 2 148 56 1 2918 "TrialProcStim" 92
"39" 1 20 "left" "female" 1 "Incorrect_Related" "na" "X*XX" "*" "0" 0 8 31 1 1898 "TrialProcStim" 240
"40" 1 20 "left" "female" 1 "Second_Digit_Incorrect" "Brug" "XXX-XXX" "-" "2" 9 652 559 1 2170 "TrialProcStim" 97
"41" 1 20 "left" "female" 1 "Middle_Digit_Incorrect" "Geen brug" "XXX-XXX" "-" "3" 9 784 431 0 2656 "TrialProcStim" 343
"42" 1 20 "left" "female" 1 "Second_Digit_Incorrect" "Geen brug" "XX-X" "-" "1" 1 45 4 1 2052 "TrialProcStim" 42
"43" 1 20 "left" "female" 1 "Last_Digit_Incorrect" "Geen brug" "XXX-XXX" "-" "{SPACE}" 2 677 160 0 0 "TrialProcStim" 513
"44" 1 20 "left" "female" 1 "Correct" "na" "XX*XX" "*" "2" 9 13 13 1 1915 "TrialProcStim" 169
"45" 1 20 "left" "female" 1 "Incorrect_Unrelated" "na" "XX*X" "*" "3" 9 24 5 1 1726 "TrialProcStim" 119
"46" 1 20 "left" "female" 1 "First_Digit_Incorrect" "Brug" "XX-X" "-" "1" 1 45 9 1 2699 "TrialProcStim" 26
"47" 1 20 "left" "female" 1 "Last_Digit_Incorrect" "Geen brug" "XXX-XXX" "-" "3" 2 495 244 1 1786 "TrialProcStim" 259
"48" 1 20 "left" "female" 1 "Second_Digit_Incorrect" "Brug" "XXX-XX" "-" "8" 3 132 55 1 2769 "TrialProcStim" 73
"49" 1 20 "left" "female" 1 "Correct" "Brug" "XX-XX" "-" "3" 8 46 27 0 2037 "TrialProcStim" 19
"50" 1 20 "left" "female" 1 "Correct" "Geen brug" "XX-X" "-" "1" 1 99 8 1 1438 "TrialProcStim" 91
"51" 1 20 "left" "female" 1 "Second_Digit_Incorrect" "Geen brug" "XX-X" "-" "{SPACE}" 1 67 3 0 0 "TrialProcStim" 66
"52" 1 20 "left" "female" 1 "First_Digit_Incorrect" "Geen brug" "XX-XX" "-" "3" 2 98 64 0 1613 "TrialProcStim" 24
"53" 1 20 "left" "female" 1 "Correct" "na" "XX*XX" "*" "0" 0 15 31 0 1967 "TrialProcStim" 465
"54" 1 20 "left" "female" 1 "Incorrect_Unrelated" "na" "XX*X" "*" "0" 0 61 8 1 1793 "TrialProcStim" 489
"55" 1 20 "left" "female" 1 "Correct" "Geen brug" "XX-XX" "-" "3" 2 39 18 1 2278 "TrialProcStim" 21
"56" 1 20 "left" "female" 1 "Correct" "Geen brug" "XXX-XXX" "-" "9" 9 495 244 0 1266 "TrialProcStim" 251
"57" 1 20 "left" "female" 1 "First_Digit_Incorrect" "Brug" "XX-XX" "-" "9" 8 81 37 0 1625 "TrialProcStim" 54
"58" 1 20 "left" "female" 1 "Correct" "Brug" "XX-X" "-" "1" 1 51 9 1 1857 "TrialProcStim" 42
"59" 1 20 "left" "female" 1 "Incorrect_Related" "na" "XX*XX" "*" "3" 8 14 14 1 1766 "TrialProcStim" 182
