,participant,trial,A_feature1,A_feature2,A_feature3,A_feature4,B_feature1,B_feature2,B_feature3,B_feature4,decisions
0,0,0,0,1,1,1,1,0,0,1,0
1,0,1,1,1,1,1,0,0,1,1,0
2,0,2,1,0,0,0,0,0,0,1,0
3,0,3,1,1,1,0,0,0,1,0,0
4,0,4,0,1,1,1,1,1,1,0,1
5,0,5,0,1,0,1,1,1,0,0,1
6,0,6,0,0,1,1,1,0,1,0,1
7,0,7,1,0,0,1,0,1,1,1,1
8,0,8,0,1,1,1,1,0,0,1,0
9,0,9,0,1,1,1,1,1,1,0,1
10,0,10,1,0,1,0,0,0,1,1,0
11,0,11,1,1,0,0,0,1,0,1,0
12,0,12,1,0,0,0,0,1,1,0,1
13,0,13,1,0,0,1,0,1,1,1,1
14,0,14,1,1,1,1,0,0,1,1,0
15,0,15,1,0,0,0,0,0,0,1,0
16,0,16,1,1,0,1,0,0,0,1,0
17,0,17,1,0,0,1,0,1,1,1,1
18,0,18,0,1,0,1,1,1,0,0,1
19,0,19,1,0,1,1,0,0,0,0,0
20,0,20,1,0,0,0,0,0,0,1,0
21,0,21,0,1,1,1,1,1,1,0,1
22,0,22,0,1,1,0,1,0,0,0,0
23,0,23,1,1,1,0,0,1,1,1,0
24,0,24,0,0,0,0,1,1,0,0,1
25,0,25,0,1,1,1,1,0,0,1,0
26,0,26,0,0,0,0,1,1,0,0,1
27,0,27,1,0,0,0,0,1,1,0,1
28,0,28,0,0,0,0,1,1,0,0,1
29,0,29,0,1,1,1,1,0,0,1,0
30,0,30,0,0,0,1,1,0,0,0,1
31,0,31,1,0,0,0,0,1,1,0,1
32,0,32,1,1,0,0,0,0,0,0,0
33,0,33,1,1,0,0,0,1,0,1,0
34,0,34,1,0,0,0,0,0,0,1,0
35,0,35,0,0,0,1,1,0,0,0,1
36,0,36,1,0,1,0,0,0,1,1,0
37,0,37,1,1,0,0,0,0,0,0,0
38,0,38,0,0,1,1,1,0,1,0,1
39,0,39,1,0,0,0,0,1,1,0,1
40,0,40,1,1,1,0,0,0,1,0,0
41,0,41,1,0,0,1,0,1,1,1,1
42,0,42,1,0,1,0,0,0,1,1,0
43,0,43,0,1,1,0,1,0,0,0,0
44,0,44,1,1,0,0,0,1,0,1,0
45,0,45,0,1,1,0,1,0,0,0,0
46,0,46,1,0,0,0,0,1,1,0,1
47,0,47,1,0,0,0,0,1,1,0,1
48,0,48,1,0,1,0,0,0,1,1,0
49,0,49,0,1,1,1,1,0,0,1,0
50,0,50,1,0,0,0,0,1,1,0,1
51,0,51,1,1,1,1,0,1,0,0,0
52,0,52,1,0,1,1,0,0,0,0,0
53,0,53,0,0,1,1,1,0,1,0,1
54,0,54,0,0,1,0,1,1,1,0,1
55,0,55,0,0,0,0,1,0,1,1,1
56,0,56,1,0,0,1,0,1,1,1,1
57,0,57,0,1,0,1,1,1,0,0,1
58,0,58,1,0,0,1,0,1,1,1,1
59,0,59,1,1,1,0,0,1,1,1,0
60,0,60,0,1,1,0,1,0,0,0,0
61,0,61,0,1,1,0,1,0,0,0,0
62,0,62,1,1,0,1,0,0,0,1,0
63,0,63,0,0,0,1,1,1,0,1,1
64,0,64,0,0,0,0,1,0,1,1,1
65,0,65,0,0,1,1,1,0,1,0,1
66,0,66,1,1,1,0,0,1,1,1,0
67,0,67,0,1,1,1,1,0,0,1,0
68,0,68,0,0,0,1,1,1,0,1,1
69,0,69,0,0,1,0,1,1,1,0,1
70,0,70,1,1,1,0,0,1,1,1,0
71,0,71,0,0,1,1,1,1,1,1,1
72,0,72,0,1,1,1,1,0,0,1,0
73,0,73,0,1,1,1,1,0,0,1,0
74,0,74,0,1,1,0,1,0,0,0,0
75,0,75,1,0,0,0,0,1,1,0,1
76,0,76,0,0,0,1,1,0,0,0,1
77,0,77,0,1,0,1,1,1,0,0,1
78,0,78,1,0,1,1,0,0,0,0,0
79,0,79,1,1,0,0,0,1,0,1,0
80,0,80,0,1,1,0,1,0,0,0,0
81,0,81,0,1,0,0,1,1,1,1,1
82,0,82,1,0,0,1,0,1,1,1,1
83,0,83,1,1,1,0,0,0,1,0,0
84,0,84,1,1,0,1,0,0,0,1,0
85,0,85,0,1,1,0,1,0,0,0,0
86,0,86,1,0,0,1,0,1,1,1,1
87,0,87,0,1,1,1,1,1,1,0,1
88,0,88,1,1,1,1,0,0,1,1,0
89,0,89,0,0,0,0,1,0,1,1,1
90,0,90,0,1,0,0,1,1,1,1,1
91,0,91,1,1,0,0,0,0,0,0,0
92,0,92,1,1,1,1,0,1,0,0,0
93,0,93,0,0,1,1,1,1,1,1,1
94,0,94,1,1,1,1,0,1,0,0,0
95,0,95,0,0,0,1,1,0,0,0,1
96,1,0,1,1,0,0,0,1,0,1,0
97,1,1,0,0,0,0,1,1,0,0,1
98,1,2,0,1,1,0,1,0,0,0,0
99,1,3,0,1,1,0,1,0,0,0,0
100,1,4,1,1,0,0,0,0,0,0,0
101,1,5,0,1,1,1,1,0,0,1,0
102,1,6,0,1,1,1,1,1,1,0,1
103,1,7,1,1,0,1,0,0,0,1,0
104,1,8,1,0,1,0,0,0,1,1,1
105,1,9,1,0,0,1,0,1,1,1,1
106,1,10,0,1,1,1,1,1,1,0,1
107,1,11,1,0,1,1,0,0,0,0,1
108,1,12,1,0,1,0,0,0,1,1,0
109,1,13,1,1,1,1,0,0,1,1,0
110,1,14,0,0,1,1,1,0,1,0,1
111,1,15,1,0,0,0,0,1,1,0,1
112,1,16,0,0,0,0,1,1,0,0,1
113,1,17,1,0,0,0,0,0,0,1,0
114,1,18,1,1,1,0,0,0,1,0,0
115,1,19,0,1,0,0,1,1,1,1,1
116,1,20,0,1,1,1,1,0,0,1,0
117,1,21,0,0,0,0,1,0,1,1,1
118,1,22,1,1,1,1,0,1,0,0,0
119,1,23,1,1,0,0,0,1,0,1,0
120,1,24,1,1,1,0,0,0,1,0,0
121,1,25,1,1,0,0,0,0,0,0,0
122,1,26,0,0,1,0,1,1,1,0,1
123,1,27,0,1,0,1,1,1,0,0,1
124,1,28,0,1,1,0,1,0,0,0,0
125,1,29,1,0,0,1,0,1,1,1,1
126,1,30,0,1,1,1,1,0,0,1,0
127,1,31,0,1,1,0,1,0,0,0,0
128,1,32,1,1,0,1,0,0,0,1,0
129,1,33,0,0,0,1,1,0,0,0,1
130,1,34,1,1,1,0,0,1,1,1,0
131,1,35,1,0,0,1,0,1,1,1,1
132,1,36,0,0,1,0,1,1,1,0,1
133,1,37,0,1,0,1,1,1,0,0,1
134,1,38,1,1,1,1,0,1,0,0,0
135,1,39,1,0,1,1,0,0,0,0,0
136,1,40,1,0,0,0,0,0,0,1,1
137,1,41,0,1,1,1,1,0,0,1,0
138,1,42,0,0,0,1,1,1,0,1,0
139,1,43,1,1,1,0,0,1,1,1,0
140,1,44,1,0,0,1,0,1,1,1,0
141,1,45,1,0,0,1,0,1,1,1,1
142,1,46,0,0,1,1,1,0,1,0,0
143,1,47,0,1,1,0,1,0,0,0,0
144,1,48,0,0,0,1,1,0,0,0,0
145,1,49,0,1,0,1,1,1,0,0,1
146,1,50,1,0,0,0,0,1,1,0,1
147,1,51,1,0,1,0,0,0,1,1,0
148,1,52,1,0,0,0,0,1,1,0,1
149,1,53,1,0,0,0,0,1,1,0,1
150,1,54,1,0,0,1,0,1,1,1,1
151,1,55,1,1,1,1,0,0,1,1,0
152,1,56,1,0,1,0,0,0,1,1,0
153,1,57,1,0,0,0,0,0,0,1,0
154,1,58,1,0,0,0,0,1,1,0,1
155,1,59,1,1,0,1,0,0,0,1,0
156,1,60,1,0,1,1,0,0,0,0,0
157,1,61,1,1,1,0,0,1,1,1,0
158,1,62,1,1,0,0,0,1,0,1,0
159,1,63,1,0,0,0,0,1,1,0,1
160,1,64,0,0,0,0,1,0,1,1,1
161,1,65,0,1,1,1,1,0,0,1,0
162,1,66,1,0,0,1,0,1,1,1,1
163,1,67,1,1,1,0,0,0,1,0,0
164,1,68,1,1,1,0,0,1,1,1,0
165,1,69,0,0,1,1,1,0,1,0,1
166,1,70,1,1,1,1,0,0,1,1,0
167,1,71,1,1,0,0,0,1,0,1,0
168,1,72,0,1,1,1,1,0,0,1,0
169,1,73,0,0,0,1,1,0,0,0,1
170,1,74,0,1,0,1,1,1,0,0,1
171,1,75,1,0,0,1,0,1,1,1,1
172,1,76,1,1,0,0,0,0,0,0,0
173,1,77,0,1,1,1,1,1,1,0,1
174,1,78,0,1,1,0,1,0,0,0,0
175,1,79,0,0,1,1,1,1,1,1,1
176,1,80,1,0,0,0,0,1,1,0,1
177,1,81,0,1,1,1,1,0,0,1,0
178,1,82,1,0,0,0,0,1,1,0,1
179,1,83,1,1,1,1,0,1,0,0,0
180,1,84,0,1,1,0,1,0,0,0,0
181,1,85,0,1,1,1,1,1,1,0,1
182,1,86,0,1,1,1,1,0,0,1,0
183,1,87,0,0,0,0,1,0,1,1,1
184,1,88,0,0,0,0,1,1,0,0,1
185,1,89,0,0,0,1,1,1,0,1,1
186,1,90,1,0,0,0,0,0,0,1,0
187,1,91,0,1,1,0,1,0,0,0,0
188,1,92,0,0,1,1,1,0,1,0,1
189,1,93,0,0,1,1,1,1,1,1,1
190,1,94,0,0,0,1,1,0,0,0,1
191,1,95,0,1,0,0,1,1,1,1,1
192,2,0,0,0,0,1,1,0,0,0,1
193,2,1,0,0,0,0,1,1,0,0,1
194,2,2,1,1,0,0,0,1,0,1,0
195,2,3,0,1,1,1,1,0,0,1,0
196,2,4,0,1,1,1,1,1,1,0,1
197,2,5,0,1,0,1,1,1,0,0,1
198,2,6,0,1,1,0,1,0,0,0,0
199,2,7,0,1,0,1,1,1,0,0,1
200,2,8,1,0,1,1,0,0,0,0,0
201,2,9,0,0,1,1,1,0,1,0,1
202,2,10,1,0,0,1,0,1,1,1,0
203,2,11,1,1,1,1,0,0,1,1,0
204,2,12,1,0,0,0,0,1,1,0,1
205,2,13,1,1,1,0,0,1,1,1,0
206,2,14,1,0,0,0,0,1,1,0,1
207,2,15,0,0,1,1,1,0,1,0,1
208,2,16,1,0,1,1,0,0,0,0,0
209,2,17,1,1,1,0,0,0,1,0,0
210,2,18,0,1,1,1,1,1,1,0,1
211,2,19,1,0,0,1,0,1,1,1,1
212,2,20,1,1,1,1,0,1,0,0,0
213,2,21,0,1,0,0,1,1,1,1,1
214,2,22,1,1,1,0,0,1,1,1,0
215,2,23,0,1,0,1,1,1,0,0,1
216,2,24,1,0,1,0,0,0,1,1,0
217,2,25,1,0,0,1,0,1,1,1,1
218,2,26,0,0,1,1,1,0,1,0,1
219,2,27,0,0,0,0,1,0,1,1,1
220,2,28,0,0,1,0,1,1,1,0,1
221,2,29,1,0,0,0,0,1,1,0,1
222,2,30,1,0,0,0,0,1,1,0,1
223,2,31,0,0,0,1,1,1,0,1,1
224,2,32,0,1,1,1,1,0,0,1,0
225,2,33,1,0,0,1,0,1,1,1,1
226,2,34,0,1,1,1,1,0,0,1,0
227,2,35,1,0,0,0,0,0,0,1,0
228,2,36,1,0,0,0,0,0,0,1,0
229,2,37,0,1,1,0,1,0,0,0,0
230,2,38,1,1,1,1,0,0,1,1,0
231,2,39,0,1,1,1,1,0,0,1,0
232,2,40,1,1,0,0,0,0,0,0,0
233,2,41,0,0,0,0,1,0,1,1,1
234,2,42,0,0,1,1,1,0,1,0,1
235,2,43,0,1,0,1,1,1,0,0,1
236,2,44,0,0,0,0,1,1,0,0,1
