paper,experiment,dataset,claim_index,spec_type,spec_repr,expected_repr,observed_repr,coverage_computable,correctness_passed,cmp_ok,cmp_passed,cmp_reason,cmp_detail,csv_path
binz2022_heuristics,exp1,gold_standard,0,CountUnique,"CountUnique(slice=None, col='subject_id')",NumberValue(data=28),NumberValue(data=28),True,True,True,True,,,/Users/younesstrittmatter/Documents/GitHub/AutoResearch/PSYCHE-Bench/methods/gold_standard/behavioral_data/binz2022_heuristics/exp1.csv
binz2022_heuristics,exp1,gold_standard,1,CountUnique,"CountUnique(slice=DataSlice(row_filter=None, aggregates=None, group_by=['subject_id']), col='trial')",NumberValue(data=300),"{'0': NumberValue(data=300), '1': NumberValue(data=300), '2': NumberValue(data=300), '3': NumberValue(data=300), '4': NumberValue(data=300), '5': NumberValue(data=300), '6': NumberValue(data=300), '7': NumberValue(data=300), '8': NumberValue(data=300), '9': NumberValue(data=300), '10': NumberValue(data=300), '11': NumberValue(data=300), '12': NumberValue(data=300), '13': NumberValue(data=300), '14': NumberValue(data=300), '15': NumberValue(data=300), '16': NumberValue(data=300), '17': NumberValue(data=300), '18': NumberValue(data=300), '19': NumberValue(data=300), '20': NumberValue(data=300), '21': NumberValue(data=300), '22': NumberValue(data=300), '23': NumberValue(data=300), '24': NumberValue(data=300), '25': NumberValue(data=300), '26': NumberValue(data=300), '27': NumberValue(data=300)}",True,True,True,True,,,/Users/younesstrittmatter/Documents/GitHub/AutoResearch/PSYCHE-Bench/methods/gold_standard/behavioral_data/binz2022_heuristics/exp1.csv
binz2022_heuristics,exp1,gold_standard,2,Mean,"Mean(slice=DataSlice(row_filter=None, aggregates=[MeanAgg(by=['subject_id'], cols=['correct'])], group_by=None), col='correct')","ApproxNumberValue(data=0.6825, atol=0.01, rtol=0.0)",NumberValue(data=0.6825),True,True,True,True,,,/Users/younesstrittmatter/Documents/GitHub/AutoResearch/PSYCHE-Bench/methods/gold_standard/behavioral_data/binz2022_heuristics/exp1.csv
binz2022_heuristics,exp1,original_fair,0,CountUnique,"CountUnique(slice=None, col='subject_id')",NumberValue(data=28),NumberValue(data=28),True,True,True,True,,,/Users/younesstrittmatter/Documents/GitHub/AutoResearch/PSYCHE-Bench/methods/psych101/behavioral_data/binz2022_heuristics/exp1.csv
binz2022_heuristics,exp1,original_fair,1,CountUnique,"CountUnique(slice=DataSlice(row_filter=None, aggregates=None, group_by=['subject_id']), col='trial')",NumberValue(data=300),"{'0': NumberValue(data=300), '1': NumberValue(data=300), '2': NumberValue(data=300), '3': NumberValue(data=300), '4': NumberValue(data=300), '5': NumberValue(data=300), '6': NumberValue(data=300), '7': NumberValue(data=300), '8': NumberValue(data=300), '9': NumberValue(data=300), '10': NumberValue(data=300), '11': NumberValue(data=300), '12': NumberValue(data=300), '13': NumberValue(data=300), '14': NumberValue(data=300), '15': NumberValue(data=300), '16': NumberValue(data=300), '17': NumberValue(data=300), '18': NumberValue(data=300), '19': NumberValue(data=300), '20': NumberValue(data=300), '21': NumberValue(data=300), '22': NumberValue(data=300), '23': NumberValue(data=300), '24': NumberValue(data=300), '25': NumberValue(data=300), '26': NumberValue(data=300), '27': NumberValue(data=300)}",True,True,True,True,,,/Users/younesstrittmatter/Documents/GitHub/AutoResearch/PSYCHE-Bench/methods/psych101/behavioral_data/binz2022_heuristics/exp1.csv
binz2022_heuristics,exp1,original_fair,2,Mean,"Mean(slice=DataSlice(row_filter=None, aggregates=[MeanAgg(by=['subject_id'], cols=['correct'])], group_by=None), col='correct')","ApproxNumberValue(data=0.6825, atol=0.01, rtol=0.0)",NumberValue(data=0.6825),True,True,True,True,,,/Users/younesstrittmatter/Documents/GitHub/AutoResearch/PSYCHE-Bench/methods/psych101/behavioral_data/binz2022_heuristics/exp1.csv
binz2022_heuristics,exp2,gold_standard,0,CountUnique,"CountUnique(slice=None, col='subject_id')",NumberValue(data=24),NumberValue(data=24),True,True,True,True,,,/Users/younesstrittmatter/Documents/GitHub/AutoResearch/PSYCHE-Bench/methods/gold_standard/behavioral_data/binz2022_heuristics/exp2.csv
binz2022_heuristics,exp2,gold_standard,1,CountUnique,"CountUnique(slice=DataSlice(row_filter=None, aggregates=None, group_by=['subject_id']), col='trial')",NumberValue(data=300),"{'0': NumberValue(data=300), '1': NumberValue(data=300), '2': NumberValue(data=300), '3': NumberValue(data=300), '4': NumberValue(data=300), '5': NumberValue(data=300), '6': NumberValue(data=300), '7': NumberValue(data=300), '8': NumberValue(data=300), '9': NumberValue(data=300), '10': NumberValue(data=300), '11': NumberValue(data=300), '12': NumberValue(data=300), '13': NumberValue(data=300), '14': NumberValue(data=300), '15': NumberValue(data=300), '16': NumberValue(data=300), '17': NumberValue(data=300), '18': NumberValue(data=300), '19': NumberValue(data=300), '20': NumberValue(data=300), '21': NumberValue(data=300), '22': NumberValue(data=300), '23': NumberValue(data=300)}",True,True,True,True,,,/Users/younesstrittmatter/Documents/GitHub/AutoResearch/PSYCHE-Bench/methods/gold_standard/behavioral_data/binz2022_heuristics/exp2.csv
binz2022_heuristics,exp2,gold_standard,2,Mean,"Mean(slice=DataSlice(row_filter=None, aggregates=[MeanAgg(by=['subject_id'], cols=['correct'])], group_by=None), col='correct')","ApproxNumberValue(data=0.7385, atol=0.01, rtol=0.0)",NumberValue(data=0.7384722222222222),True,True,True,True,,,/Users/younesstrittmatter/Documents/GitHub/AutoResearch/PSYCHE-Bench/methods/gold_standard/behavioral_data/binz2022_heuristics/exp2.csv
binz2022_heuristics,exp2,original_fair,0,CountUnique,"CountUnique(slice=None, col='subject_id')",NumberValue(data=24),NumberValue(data=24),True,True,True,True,,,/Users/younesstrittmatter/Documents/GitHub/AutoResearch/PSYCHE-Bench/methods/psych101/behavioral_data/binz2022_heuristics/exp2.csv
binz2022_heuristics,exp2,original_fair,1,CountUnique,"CountUnique(slice=DataSlice(row_filter=None, aggregates=None, group_by=['subject_id']), col='trial')",NumberValue(data=300),"{'0': NumberValue(data=300), '1': NumberValue(data=300), '2': NumberValue(data=300), '3': NumberValue(data=300), '4': NumberValue(data=300), '5': NumberValue(data=300), '6': NumberValue(data=300), '7': NumberValue(data=300), '8': NumberValue(data=300), '9': NumberValue(data=300), '10': NumberValue(data=300), '11': NumberValue(data=300), '12': NumberValue(data=300), '13': NumberValue(data=300), '14': NumberValue(data=300), '15': NumberValue(data=300), '16': NumberValue(data=300), '17': NumberValue(data=300), '18': NumberValue(data=300), '19': NumberValue(data=300), '20': NumberValue(data=300), '21': NumberValue(data=300), '22': NumberValue(data=300), '23': NumberValue(data=300)}",True,True,True,True,,,/Users/younesstrittmatter/Documents/GitHub/AutoResearch/PSYCHE-Bench/methods/psych101/behavioral_data/binz2022_heuristics/exp2.csv
binz2022_heuristics,exp2,original_fair,2,Mean,"Mean(slice=DataSlice(row_filter=None, aggregates=[MeanAgg(by=['subject_id'], cols=['correct'])], group_by=None), col='correct')","ApproxNumberValue(data=0.7385, atol=0.01, rtol=0.0)",NumberValue(data=0.7384722222222222),True,True,True,True,,,/Users/younesstrittmatter/Documents/GitHub/AutoResearch/PSYCHE-Bench/methods/psych101/behavioral_data/binz2022_heuristics/exp2.csv
binz2022_heuristics,exp3,gold_standard,0,CountUnique,"CountUnique(slice=None, col='subject_id')",NumberValue(data=27),NumberValue(data=27),True,True,True,True,,,/Users/younesstrittmatter/Documents/GitHub/AutoResearch/PSYCHE-Bench/methods/gold_standard/behavioral_data/binz2022_heuristics/exp3.csv
