paper,dataset,n_claims,coverage_computable_n,coverage_computable_rate,correctness_pass_n,correctness_pass_rate,compare_ok_n,compare_ok_rate
badham2017_deficits,gold_standard,9,9,1.0,9,1.0,9,1.0
badham2017_deficits,original_fair,9,1,0.1111111111111111,0,0.0,1,0.1111111111111111
bahrami2020_four,gold_standard,2,2,1.0,1,0.5,2,1.0
bahrami2020_four,original_fair,2,2,1.0,0,0.0,2,1.0
binz2022_heuristics,gold_standard,9,9,1.0,9,1.0,9,1.0
binz2022_heuristics,original_fair,9,9,1.0,9,1.0,9,1.0
cox2017_information,gold_standard,1,1,1.0,1,1.0,1,1.0
cox2017_information,original_fair,1,1,1.0,0,0.0,1,1.0
desender2021_math,gold_standard,4,4,1.0,3,0.75,4,1.0
desender2021_math,original_fair,4,2,0.5,1,0.25,2,0.5
