paper,experiment,dataset,n_claims,coverage_computable_n,coverage_computable_rate,correctness_pass_n,correctness_pass_rate,compare_ok_n,compare_ok_rate
badham2017_deficits,exp1,gold_standard,9,9,1.0,9,1.0,9,1.0
badham2017_deficits,exp1,original_fair,9,1,0.1111111111111111,0,0.0,1,0.1111111111111111
bahrami2020_four,exp1,gold_standard,2,2,1.0,1,0.5,2,1.0
bahrami2020_four,exp1,original_fair,2,2,1.0,0,0.0,2,1.0
binz2022_heuristics,exp1,gold_standard,3,3,1.0,3,1.0,3,1.0
binz2022_heuristics,exp1,original_fair,3,3,1.0,3,1.0,3,1.0
binz2022_heuristics,exp2,gold_standard,3,3,1.0,3,1.0,3,1.0
binz2022_heuristics,exp2,original_fair,3,3,1.0,3,1.0,3,1.0
binz2022_heuristics,exp3,gold_standard,3,3,1.0,3,1.0,3,1.0
binz2022_heuristics,exp3,original_fair,3,3,1.0,3,1.0,3,1.0
cox2017_information,exp1,gold_standard,1,1,1.0,1,1.0,1,1.0
cox2017_information,exp1,original_fair,1,1,1.0,0,0.0,1,1.0
desender2021_math,exp1,gold_standard,4,4,1.0,3,0.75,4,1.0
desender2021_math,exp1,original_fair,4,2,0.5,1,0.25,2,0.5
